"Phecode","No. Cases with P","No. Controls with P","Odds Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"149.5",0,0,0,1,0,Inf,"Hx of malignant neoplasm of oral cavity and pharynx"
"149.9",0,0,0,1,0,Inf,"Cancer of of nasal cavities"
"150",1,0,Inf,1,0.0256406640625,Inf,"Esophageal cancer"
"151",0,0,0,1,0,Inf,"Stomach cancer"
"153",0,0,0,1,0,Inf,"Colorectal cancer"
"153.2",3,0,Inf,0.249972880130175,0.413246541089714,Inf,"Colon cancer"
"153.3",2,0,Inf,0.499981920086784,0.187810733292185,Inf,"Cancer of the lower GI tract"
"155",0,0,0,1,0,Inf,"Hepatic cancer"
"155.1",0,0,0,1,0,Inf,"Hepatic cancer, primary"
"157",0,0,0,1,0,Inf,"Pancreatic cancer"
"158",2,1,2.00008513905808,1,0.104105394076461,117.932198226899,"Neoplasm of unspecified nature of digestive system"
"159",0,1,0,1,0,39.0005499686929,"Cancer of the digestive organs and peritoneum"
"159.2",0,0,0,1,0,Inf,"Malignant neoplasm of small intestine"
"159.3",0,0,0,1,0,Inf,"Malignant neoplasm of gallbladder & extrahepatic bile ducts"
"159.4",0,0,0,1,0,Inf,"Malignant neoplasm of retroperitoneum and peritoneum"
"164",0,0,0,1,0,Inf,"Cancer of intrathoracic organs"
"165",0,0,0,1,0,Inf,"Cancer within the respiratory system"
"165.1",0,0,0,1,0,Inf,"Lung cancer"
"170",0,0,0,1,0,Inf,"Cancer of bone & connective tissue"
"170.1",3,3,1,1,0.133900497374335,7.46823215454069,"Bone cancer"
"170.2",2,1,2.00008513905808,1,0.104105394076461,117.932198226899,"Cancer of connective tissue"
"172",0,0,0,1,0,Inf,"Skin cancer"
"172.1",0,0,0,1,0,Inf,"Melanoma"
"172.11",0,1,0,1,0,39.0005499686929,"Melanomas of skin"
"172.2",2,2,1,1,0.0724972999730408,13.7936171467333,"Non-melanoma skin cancer"
"172.21",1,1,1,1,0.0127457840596285,78.4573154010539,"Basal cell carcinoma (new)"
"172.22",0,1,0,1,0,39.0005499686929,"Squamous cell carcinoma"
"172.3",0,2,0,0.499981920086784,0,5.32450932101021,"Carcinoma in situ of skin"
"173",35,59,0.5922028279827,0.0170220470011741,0.378004842076614,0.915429374423898,"Skin neoplasm of uncertain behavior"
"174",0,0,0,1,0,Inf,"Breast cancer"
"174.1",0,0,0,1,0,Inf,"Breast cancer, including in situ"
"174.11",0,0,0,1,0,Inf,"Breast cancer"
"174.2",0,0,0,1,0,Inf,"Breast cancer [male]"
"174.3",0,1,0,1,0,39.0005499686929,"Neoplasm of uncertain behavior of breast"
"175",13,2,6.50472104206287,0.00737019916073087,1.47223538810881,59.4098414374405,"Acquired absence of breast"
"180",0,0,0,1,0,Inf,"Cervical cancer and dysplasia"
"180.1",1,0,Inf,1,0.0256406640625,Inf,"Cervical cancer"
"180.3",43,27,1.59440517136804,0.0718782750638156,0.96241980580892,2.6851042057772,"Cervical intraepithelial neoplasia (Cervical dysplasia)"
"182",0,0,0,1,0,Inf,"Uterine cancer"
"184",1,0,Inf,1,0.0256406640625,Inf,"Cancer of other female genital organs"
"184.1",0,0,0,1,0,Inf,"Ovarian cancer"
"184.11",3,0,Inf,0.249972880130175,0.413246541089714,Inf,"Malignant neoplasm of ovary"
"184.2",0,0,0,1,0,Inf,"Cancer of other female genital organs"
"185",0,0,0,1,0,Inf,"Prostate cancer"
"187",0,0,0,1,0,Inf,"Cancer of other male genital organs"
"187.1",0,0,0,1,0,Inf,"Malignant neoplasm of male genital organ"
"187.2",3,4,0.749955992216476,1,0.109856309512206,4.43385437805421,"Malignant neoplasm of testis"
"187.8",0,1,0,1,0,39.0005499686929,"Neoplasm of uncertain behavior of male genital organs"
"189",0,0,0,1,0,Inf,"Cancer of kidney and urinary organs"
"189.1",0,0,0,1,0,Inf,"Cancer of kidney and renal pelvis"
"189.11",2,0,Inf,0.499981920086784,0.187810733292185,Inf,"Renal cell carcinoma"
"189.12",0,0,0,1,0,Inf,"Malignant neoplasm of renal pelvis"
"189.2",0,0,0,1,0,Inf,"Bladder cancer and neoplasms"
"189.21",1,0,Inf,1,0.0256406640625,Inf,"Bladder cancer"
"189.4",0,0,0,1,0,Inf,"Malignant neoplasm of kidney and other urinary organs"
"190",0,1,0,1,0,39.0005499686929,"Cancer of eye"
"191",12,2,6.00390098901845,0.0129177711547448,1.33626748523109,55.198534023361,"Malignant neoplasm of brain and nervous system"
"191.1",2,1,2.00008513905808,1,0.104105394076461,117.932198226899,"Cancer of brain and nervous system"
"191.11",14,2,7.00560923931876,0.00417071895702165,1.60850175128549,63.5775463597292,"Brain cancer"
"193",3,5,0.599927722293002,0.726522943753084,0.093127159024285,3.08406231275103,"Thyroid cancer"
"194",3,0,Inf,0.249972880130175,0.413246541089714,Inf,"Cancer of other endocrine glands"
"195",3,1,3.00050806357343,0.624972878659094,0.240879058689211,157.400221419387,"Cancer, suspected or other"
"195.1",3,1,3.00050806357343,0.624972878659094,0.240879058689211,157.400221419387,"Malignant neoplasm, other"
"195.3",0,0,0,1,0,Inf,"Malignant neoplasm of head, face, and neck"
"196",4,2,2.00022981751278,0.687466096484795,0.286613527727027,22.1153910386346,"Radiotherapy"
"197",23,6,3.83759265491978,0.00230394478204367,1.51858966040061,11.5263654102794,"Chemotherapy"
"198",1,0,Inf,1,0.0256406640625,Inf,"Secondary malignant neoplasm"
"198.1",1,1,1,1,0.0127457840596285,78.4573154010539,"Secondary malignancy of lymph nodes"
"198.2",1,0,Inf,1,0.0256406640625,Inf,"Secondary malignancy of lung"
"198.3",1,0,Inf,1,0.0256406640625,Inf,"Secondary malignant neoplasm of digestive systems"
"198.4",0,0,0,1,0,Inf,"Secondary malignant neoplasm of liver"
"198.5",1,0,Inf,1,0.0256406640625,Inf,"Secondary malignancy of brain/spine"
"198.6",0,0,0,1,0,Inf,"Secondary malignancy of bone"
"198.7",0,0,0,1,0,Inf,"Secondary malignant neoplasm of skin"
"199",25,8,3.12896476213478,0.00452803990568392,1.36739192560873,8.02770798561003,"Neoplasm of uncertain behavior"
"199.4",4,2,2.00022981751278,0.687466096484795,0.286613527727027,22.1153910386346,"Neurofibromatosis"
"200",3,2,1.50007892602058,1,0.171809090153529,17.9562509656687,"Myeloproliferative disease"
"200.1",0,1,0,1,0,39.0005499686929,"Polycythemia vera"
"201",1,7,0.142804749124581,0.0702729523356312,0.00317265308891781,1.11178112427025,"Hodgkin's disease"
"202",2,0,Inf,0.499981920086784,0.187810733292185,Inf,"Cancer of other lymphoid, histiocytic tissue"
"202.2",2,4,0.499942552223058,0.687466096484795,0.0452173781712946,3.48901884684385,"Non-Hodgkins lymphoma"
"202.21",0,1,0,1,0,39.0005499686929,"Nodular lymphoma"
"202.22",1,0,Inf,1,0.0256406640625,Inf,"Reticulosarcoma"
"202.23",0,0,0,1,0,Inf,"Lymphosarcoma"
"202.24",0,0,0,1,0,Inf,"Large cell lymphoma"
"204",6,1,6.00172959797013,0.124952540228117,0.72801947933814,275.757453177678,"Leukemia"
"204.1",1,1,1,1,0.0127457840596285,78.4573154010539,"Lymphoid leukemia"
"204.11",14,4,3.50206404973494,0.0308306207742768,1.09958470521552,14.6116338186452,"Lymphoid leukemia, acute"
"204.12",1,0,Inf,1,0.0256406640625,Inf,"Chronic lymphoid leukemia"
"204.2",0,1,0,1,0,39.0005499686929,"Myeloid leukemia"
"204.21",6,0,Inf,0.0312330519201888,1.17768859146603,Inf,"Myeloid leukemia, acute"
"204.22",1,1,1,1,0.0127457840596285,78.4573154010539,"Myeloid leukemia, chronic"
"204.3",0,0,0,1,0,Inf,"Monocytic leukemia"
"204.4",0,0,0,1,0,Inf,"Multiple myeloma"
"208",7,9,0.777674307601046,0.80356255447554,0.2460523933467,2.34740443464076,"Benign neoplasm of colon"
"209",0,0,0,1,0,Inf,"Neuroendocrine tumors"
"210",3,3,1,1,0.133900497374335,7.46823215454069,"Benign neoplasm of lip, oral cavity, and pharynx"
"211",5,3,1.6668674622634,0.726522943753084,0.32424766382492,10.7380060819769,"Benign neoplasm of other parts of digestive system"
"212",2,0,Inf,0.499981920086784,0.187810733292185,Inf,"Benign neoplasm of respiratory and intrathoracic organs"
"213",12,8,1.5004046581519,0.503288221223729,0.563795671344808,4.23318977001417,"Benign neoplasm of bone and articular cartilage"
"214",3,2,1.50007892602058,1,0.171809090153529,17.9562509656687,"Lipoma"
"214.1",3,4,0.749955992216476,1,0.109856309512206,4.43385437805421,"Lipoma of skin & subcutaneous tissue"
"215",4,2,2.00022981751278,0.687466096484795,0.286613527727027,22.1153910386346,"Other benign neoplasm of connective and other soft tissue"
"216",171,257,0.66119335652691,3.27288743119509e-05,0.540865515326796,0.806625842307467,"Benign neoplasm of skin"
"216.1",85,54,1.57758972939499,0.010483509723193,1.1076942711093,2.26380232219898,"Screening for malignant neoplasms of the skin"
"217",2,2,1,1,0.0724972999730408,13.7936171467333,"Vascular hamartomas and non-neoplastic nevi"
"217.1",3,3,1,1,0.133900497374335,7.46823215454069,"Nevus, non-neoplastic"
"218",0,0,0,1,0,Inf,"Benign neoplasm of uterus"
"218.1",4,4,1,1,0.186203523423341,5.3704676561166,"Uterine leiomyoma"
"218.2",0,0,0,1,0,Inf,"Benign neoplasm of uterus"
"220",4,2,2.00022981751278,0.687466096484795,0.286613527727027,22.1153910386346,"Benign neoplasm of ovary"
"221",2,1,2.00008513905808,1,0.104105394076461,117.932198226899,"Benign female genital neoplasms"
"222",1,0,Inf,1,0.0256406640625,Inf,"Benign neoplasm of male genital organs"
"223",0,0,0,1,0,Inf,"Benign neoplasm of urinary organs"
"224",0,0,0,1,0,Inf,"Benign neoplasm of eye"
"224.1",2,1,2.00008513905808,1,0.104105394076461,117.932198226899,"Benign neoplasm of eye, uveal"
"225",4,2,2.00022981751278,0.687466096484795,0.286613527727027,22.1153910386346,"Benign neoplasm of brain and other parts of nervous system"
"225.1",0,1,0,1,0,39.0005499686929,"Benign neoplasm of brain, cranial nerves, meninges"
"225.2",0,0,0,1,0,Inf,"Benign neoplasm of spinal cord, meninges"
"226",1,3,0.33327689227662,0.624972878659094,0.0063532312151934,4.15146092583428,"Benign neoplasm of thyroid glands"
"227",7,4,1.75033443754228,0.548746535814398,0.44485606428426,8.15574598660003,"Benign neoplasm of other endocrine glands"
"227.1",0,0,0,1,0,Inf,"Benign neoplasm of adrenal gland"
"227.2",0,0,0,1,0,Inf,"Benign neoplasm of parathyroid gland"
"227.3",1,0,Inf,1,0.0256406640625,Inf,"Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)"
"228",5,2,2.50060499840729,0.453065668848391,0.409278544143079,26.2729609846638,"Hemangioma and lymphangioma, any site"
"228.1",3,2,1.50007892602058,1,0.171809090153529,17.9562509656687,"Hemangioma of skin & subcutaneous tissue"
"229",0,0,0,1,0,Inf,"Benign neoplasm of unspecified sites"
"229.1",0,0,0,1,0,Inf,"Benign neoplasm of lymph nodes"
"230",0,0,0,1,0,Inf,"Kaposi's sarcoma"
"240",11,16,0.68726375915886,0.44184341245335,0.288268156181523,1.57753691948425,"Simple goiter"
"241",5,4,1.25007776536724,1,0.268996879125775,6.301303774002,"Nontoxic nodular goiter"
"241.1",9,17,0.529120263798344,0.168437154355775,0.207721883145646,1.25547099671017,"Nontoxic uninodular goiter"
"241.2",11,3,3.6683262071416,0.0573111952145358,0.968836351214362,20.4827547506664,"Nontoxic multinodular goiter"
"242",25,11,2.27510476360161,0.0287140353328851,1.07924672649582,5.12466494087318,"Thyrotoxicosis"
"242.1",10,14,0.714090579301133,0.541078558739192,0.283673802606168,1.72916330857778,"Graves' disease"
"242.2",0,0,0,1,0,Inf,"Toxic multinodular goiter"
"242.3",1,3,0.33327689227662,0.624972878659094,0.0063532312151934,4.15146092583428,"Exophthalmos"
"244",201,68,2.9847481914968,1.43741090889762e-16,2.25399957330679,3.99372246808849,"Hypothyroidism"
"244.1",10,9,1.11118551260428,1,0.405644056896804,3.09161058416513,"Iatrogenic hypothyroidism"
"244.2",27,9,3.00398069825488,0.00391047344785308,1.37059225679776,7.26268952490427,"Acquired hypothyroidism"
"244.3",0,0,0,1,0,Inf,"Iodine hypothyroidism"
"244.4",54,19,2.84937864701428,4.95131896250518e-05,1.66105875727692,5.09356811285474,"Hypothyroidism NOS"
"244.5",3,1,3.00050806357343,0.624972878659094,0.240879058689211,157.400221419387,"Congenital hypothyroidism"
"245",2,4,0.499942552223058,0.687466096484795,0.0452173781712946,3.48901884684385,"Thyroiditis"
"245.1",1,1,1,1,0.0127457840596285,78.4573154010539,"Thyroiditis, acute and subacute"
"245.2",22,14,1.57230474124805,0.242677174701573,0.768875177864442,3.32445183377606,"Chronic lymphocytic thyroiditis"
"245.21",13,3,4.33602611984641,0.0212346133768042,1.19123209209502,23.727504179091,"Chronic lymphocytic thyroiditis"
"246",18,7,2.57353480185156,0.0431920315089833,1.02520696448415,7.29185953012279,"Other disorders of thyroid"
"246.2",0,1,0,1,0,39.0005499686929,"Thyroid cyst"
"246.7",18,14,1.28607165079288,0.596400407018344,0.604063844509511,2.79530013296507,"Abnormal thyroid function"
"249",4,0,Inf,0.124972880620536,0.660181199687277,Inf,"Secondary diabetes mellitus"
"250",0,1,0,1,0,39.0005499686929,"Diabetes mellitus"
"250.1",65,56,1.1614659990151,0.466228206178775,0.799270364683414,1.69251639462737,"Type 1 diabetes"
"250.11",60,38,1.58143524586892,0.0330490498342423,1.03540623144066,2.44237375260945,"Type 1 diabetic ketoacidosis"
"250.12",7,1,7.00256823481139,0.0702729523356312,0.899457616404829,315.193616186098,"Type 1 diabetes nephropathy"
"250.13",6,0,Inf,0.0312330519201888,1.17768859146603,Inf,"Type 1 diabetic retinopathy"
"250.14",8,1,8.00353751058315,0.0390319940085006,1.0728191801947,354.62157097064,"Type 1 diabetic neuropathy"
"250.15",1,0,Inf,1,0.0256406640625,Inf,"Type 1 diabetic peripheral circulatory disorders"
"250.2",135,34,3.99938812874486,1.58579109715621e-15,2.72646395055383,6.0151680864432,"Type 2 diabetes"
"250.21",47,12,3.92614908829477,5.0144076219194e-06,2.04968206634117,8.13355825834877,"Type 2 diabetic ketoacidosis"
"250.22",4,1,4.00041720599322,0.374954797765157,0.395837785495157,196.860649807576,"Type 2 diabetic nephropathy"
"250.23",2,0,Inf,0.499981920086784,0.187810733292185,Inf,"Type 2 diabetic retinopathy"
"250.24",9,3,3.00137510145988,0.145908690992822,0.748772921678584,17.237432722716,"Type 2 diabetic neuropathy"
"250.25",0,0,0,1,0,Inf,"Type 2 diabetic peripheral circulatory disorders"
"250.3",46,21,2.19437946442949,0.00303034513303974,1.28251814100253,3.87315628846109,"Insulin pump user"
"250.4",0,0,0,1,0,Inf,"Abnormal glucose"
"250.41",14,5,2.80188365173396,0.0634783036627555,0.953278370526026,9.94018669441128,"Impaired fasting glucose"
"250.42",48,11,4.37490142425071,1.21159876256956e-06,2.23934050637604,9.34821001403229,"Other abnormal glucose"
"250.5",1,0,Inf,1,0.0256406640625,Inf,"Glycosuria or Acetonuria"
"250.6",5,0,Inf,0.0624774013343804,0.91648278640558,Inf,"Polyneuropathy in diabetes"
"250.7",5,0,Inf,0.0624774013343804,0.91648278640558,Inf,"Diabetic retinopathy"
"251",1,1,1,1,0.0127457840596285,78.4573154010539,"Other disorders of pancreatic internal secretion"
"251.1",37,6,6.18007906736996,1.60849987158855e-06,2.58449605319019,17.9191780048128,"Hypoglycemia"
"251.8",2,3,0.666631590280923,1,0.055690912424422,5.82041380410315,"Other specified disorders of pancreatic internal secretion"
"252",0,0,0,1,0,Inf,"Disorders of parathyroid gland"
"252.1",3,0,Inf,0.249972880130175,0.413246541089714,Inf,"Hyperparathyroidism"
"252.2",2,1,2.00008513905808,1,0.104105394076461,117.932198226899,"Hypoparathyroidism"
"253",7,1,7.00256823481139,0.0702729523356312,0.899457616404829,315.193616186098,"Disorders of the pituitary gland and its hypothalamic control"
"253.1",16,6,2.6686544501195,0.0523861788047503,0.991465170035224,8.32878934306339,"Pituitary hyperfunction"
"253.11",0,0,0,1,0,Inf,"Acromegaly and gigantism"
"253.2",27,13,2.07896604115096,0.0383384719280611,1.03595422030369,4.39043137473268,"Pituitary hypofunction"
"253.3",9,0,Inf,0.00390116695496904,1.97458492251398,Inf,"Posterior pituitary disorders"
"253.4",1,0,Inf,1,0.0256406640625,Inf,"Anterior pituitary disorders"
"253.7",0,0,0,1,0,Inf,"Other disorders of neurohypophysis"
"254",0,0,0,1,0,Inf,"Diseases of thymus gland"
"255",1,1,1,1,0.0127457840596285,78.4573154010539,"Disorders of adrenal glands"
"255.1",2,0,Inf,0.499981920086784,0.187810733292185,Inf,"Adrenal hyperfunction"
"255.11",3,0,Inf,0.249972880130175,0.413246541089714,Inf,"Cushing's syndrome"
"255.12",1,0,Inf,1,0.0256406640625,Inf,"Hyperaldosteronism"
"255.13",0,0,0,1,0,Inf,"Medulloadrenal hyperfunction"
"255.2",12,0,Inf,0.000487116890931194,2.78026788495404,Inf,"Adrenal hypofunction"
"255.21",1,0,Inf,1,0.0256406640625,Inf,"Glucocorticoid deficiency"
"255.3",3,2,1.50007892602058,1,0.171809090153529,17.9562509656687,"Adrenogenital disorders"
"255.9",4,1,4.00041720599322,0.374954797765157,0.395837785495157,196.860649807576,"Other disorders of adrenal glands"
"256",7,3,2.33407910615989,0.343661000054015,0.532683330568938,13.9904301841007,"Ovarian dysfunction"
"256.1",0,0,0,1,0,Inf,"Hyperestrogenism"
"256.4",77,41,1.88291206883657,0.00115033100437824,1.27182873306721,2.82372054866237,"Polycystic ovaries"
"257",5,0,Inf,0.0624774013343804,0.91648278640558,Inf,"Testicular dysfunction"
"257.1",26,5,5.20747591832979,0.000190711648206246,1.9671362138833,17.371964635226,"Testicular hypofunction"
"258",1,1,1,1,0.0127457840596285,78.4573154010539,"Iatrogenic endocrine disorders"
"258.1",0,0,0,1,0,Inf,"Postablative ovarian failure"
"259",37,11,3.37019054433087,0.00021957173815833,1.68236920427367,7.32651331579334,"Other endocrine disorders"
"259.1",4,1,4.00041720599322,0.374954797765157,0.395837785495157,196.860649807576,"Nonspecific abnormal results of other endocrine function study"
"259.2",0,0,0,1,0,Inf,"Carcinoid syndrome"
"259.3",2,0,Inf,0.499981920086784,0.187810733292185,Inf,"Delay in sexual development and puberty NEC"
"259.4",0,0,0,1,0,Inf,"Precocious sexual development and puberty NEC"
"259.8",3,0,Inf,0.249972880130175,0.413246541089714,Inf,"Polyglandular dysfunction and related disorders"
"260",74,11,6.75761658152168,1.20025178631676e-12,3.56436831062095,14.1292218691293,"Protein-calorie malnutrition"
"260.1",2,0,Inf,0.499981920086784,0.187810733292185,Inf,"Cachexia"
