"Phecode","No. Cases with P","No. Controls with P","Hazard Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"070.1",0,0,NA,NA,NA,NA,"Viral hepatitis A"
"070.2",40,27,1.49503867585063,0.106424619644858,0.917540422138051,2.43601326803769,"Viral hepatitis B"
"070.3",355,39,9.22387056300198,1.30568332439772e-39,6.62696484291069,12.838424554799,"Viral hepatitis C"
"070.4",29,14,2.08921741687513,0.0235812555649762,1.10396902099391,3.95376077767535,"Chronic hepatitis"
"070.9",1,0,217399287.6026,0.998964048613901,0,Inf,"Hepatitis NOS"
"071",77,10,7.84261393237811,8.9745280617983e-10,4.0580368550045,15.1567360006796,"Human immunodeficiency virus"
"071.1",177,43,4.13329810076369,7.02499570871337e-17,2.96194490838202,5.76788350837661,"HIV infection, symptomatic"
"078",88,98,0.926336928328461,0.602456735150879,0.694584842065333,1.23541438398435,"Viral warts & HPV"
"079",63,14,4.63615896125834,2.11532510410858e-07,2.59738117508181,8.27524666778224,"Viral infection"
"079.1",2,0,218126438.69933,0.998534726170032,0,Inf,"Varicella infection"
"079.2",2,2,1.01326603245008,0.989486232116524,0.142703029191697,7.19471799815773,"Infectious mononucleosis"
"079.9",1,0,224027419.130343,0.998962673728295,0,Inf,"Viremia, NOS"
"080",101,10,10.3092091428302,1.96485216349757e-12,5.38291289481124,19.7439184373689,"Postoperative infection"
"081",170,14,12.2908021567108,1.83229202547253e-19,7.1268823934084,21.1963393411857,"Infection/inflammation of internal prosthetic device, implant or graft"
"081.1",0,0,NA,NA,NA,NA,"Graft-versus-host disease"
"081.11",0,0,NA,NA,NA,NA,"Acute graft-versus-host disease"
"081.12",0,0,NA,NA,NA,NA,"Chronic graft-versus-host disease"
"090",35,9,3.9790392481528,0.000220601868945483,1.91232951556524,8.27930187212563,"Sexually transmitted infections"
"090.2",0,1,5.06940993375564e-09,0.998971566299274,0,Inf,"Gonococcal infections"
"090.3",0,0,NA,NA,NA,NA,"Venereal diseases due to Chlamydia trachomatis"
"1000",27,0,225858921.100064,0.994609223095897,0,Inf,"Burns"
"1001",69,13,5.54446443054684,1.49102136997085e-08,3.06472386859086,10.0306217263657,"Foreign body injury"
"1002",554,107,5.4118278571499,1.65335717792898e-57,4.39967675305391,6.65682558044618,"Symptoms concerning nutrition, metabolism, and development"
"1003",0,0,NA,NA,NA,NA,"Sudden death"
"1004",24,7,3.46817925249981,0.00379377268821237,1.49424148235456,8.04974796210083,"Symptoms involving emotional state"
"1005",422,33,13.2069663294749,3.10824783641397e-46,9.26663871690765,18.8227862288012,"Other symptoms"
"1006",2,1,2.00731750134784,0.569402859128131,0.182014403741404,22.13738840659,"Crushing injury"
"1007",9,0,220382657.478651,0.99689031150551,0,Inf,"Injury to blood vessels"
"1008",75,2,38.0084795007829,3.8284138120719e-07,9.33269447000611,154.793936371142,"Internal injury to organs"
"1009",2003,216,10.2290122226951,4.81494577366398e-231,8.88888020054079,11.7711892489764,"Injury, NOS"
"1010",4935,4587,1.14090514701207,1.32517322504859e-10,1.09593143163179,1.18772444781561,"Other tests"
"1010.1",0,4,4.6388332046329e-09,0.997929377136026,0,Inf,"nan"
"1011",88,28,3.25629998964964,5.35364974848687e-08,2.12797841437991,4.98289341232914,"Complications of medical procedures NOS"
"1012",2,1,2.00517204027165,0.56999654787414,0.181818767394251,22.1138607895674,"Late effect"
"1013",904,222,4.17729103291647,3.5421217198075e-81,3.60679954543981,4.83801779218549,"Asphyxia and hypoxemia"
"1014",5,2,2.4953845511037,0.274407876091713,0.484140008945216,12.8618662842046,"Effects of heat, cold & air pressure"
"1015",950,83,12.1092813174061,3.34908041958981e-105,9.67528427695514,15.1555954147351,"Effects of other external causes"
"1019",4273,4198,1.03862896986202,0.081186843647616,0.995313682657469,1.08382930510551,"Other causes of morbidity & mortality"
"110",0,0,NA,NA,NA,NA,"Dermatophytosis / Dermatomycosis"
"110.1",1,0,231986289.131537,0.998961185869805,0,Inf,"Dermatophytosis"
"110.11",3174,1341,2.45592450623307,1.9776577054968e-167,2.30400641231358,2.61785954591139,"Dermatophytosis of nail"
"110.12",42,55,0.785226309035603,0.238261047170357,0.525394776778935,1.17355631165916,"Althete's foot"
"110.13",15,8,2.00368893211933,0.112738008533682,0.84885318749765,4.72963923070456,"Dermatophytosis of the body"
"110.2",8,6,1.37720750769823,0.553501810503523,0.477762184046183,3.96996786810783,"Dermatomycoses"
"1100",1,2,0.552625033827174,0.628481979099565,0.0500158882254542,6.10594830658357,"x"
"112",157,21,7.73071254529594,1.36325440352819e-18,4.90231836737138,12.1909496649116,"Candidiasis"
"112.3",12,1,12.876947098163,0.0141198215817567,1.67300980539921,99.1122502891253,"Candidiasis of skin and nails"
"117",19,1,18.9565086415709,0.00413532474313011,2.53772116640218,141.603114099181,"Mycoses"
"117.1",2,0,218690553.098582,0.998534563429685,0,Inf,"Histoplasmosis"
"117.2",3,0,219981680.32574,0.998204503463375,0,Inf,"Coccidioidomycosis"
"117.3",1,0,217412072.73207,0.998964031206908,0,Inf,"Blastomycotic infection"
"117.4",14,1,14.0271172011268,0.0107279523786328,1.84454790494401,106.671134128187,"Aspergillosis"
"130",2,0,217466201.455179,0.998534869005476,0,Inf,"Spirochetal infection"
"130.1",65,10,6.5766978541006,2.95019122130643e-08,3.37938481928696,12.799061656807,"Lyme disease"
"131",0,1,4.54717474107252e-09,0.998963374342623,0,Inf,"Protozoan infection"
"132",3,0,252534793.305325,0.998199699817216,0,Inf,"Infestation"
"132.1",1,0,249384845.201036,0.998960140009583,0,Inf,"Pediculosis & phthirus infestation"
"133",8,0,222014601.50593,0.997066939934445,0,Inf,"Arthropod-borne diseases"
"134",0,0,NA,NA,NA,NA,"Helminthiases"
"134.1",0,0,NA,NA,NA,NA,"Intestinal helminthiases"
"136",38,1,40.6735682486499,0.000254850222527188,5.58319595955438,296.306840394264,"Other infectious diseases"
"145",13,3,4.34100127548932,0.0219037518748425,1.2370115987361,15.2337230249529,"Cancer of mouth"
"145.1",0,1,4.64961657663414e-09,0.998964727601688,0,Inf,"Cancer of lip"
"145.2",22,8,2.76576775509442,0.0137391441638318,1.2313445441473,6.21229152431682,"Cancer of tongue"
"145.3",8,6,1.33916271548214,0.588688103181974,0.464635201346255,3.85970923714204,"Cancer of major salivary glands"
"145.4",2,0,218584460.433624,0.998534705023911,0,Inf,"Cancer of the gums"
"145.5",1,0,218630744.503329,0.998963855705606,0,Inf,"Cancer of the mouth floor"
"149",5,1,5.04996081886858,0.13933690242271,0.589970767603917,43.2260472424439,"Cancer of the upper aerodigestive tract"
"149.1",11,5,2.20244208482323,0.14322463676977,0.765240456656883,6.33885871402049,"Cancer of oropharynx"
"149.2",3,2,1.49803555812536,0.657961709597927,0.250313773860478,8.96518996457138,"Cancer of nasopharynx"
"149.3",5,0,218303069.61985,0.997682807906682,0,Inf,"Cancer of hypopharynx"
"149.4",53,19,2.82872622625728,0.000101069297185831,1.67471863089009,4.77793219441464,"Cancer of larynx"
"149.5",8,5,1.62738143926255,0.393012762122099,0.532362501267391,4.97474999187827,"Hx of malignant neoplasm of oral cavity and pharynx"
"149.9",5,3,1.66459432140899,0.485320092414961,0.397811434048193,6.96529565947919,"Cancer of of nasal cavities"
"150",45,16,2.82540082417428,0.000359304149146722,1.59703661917922,4.99856404128503,"Esophageal cancer"
"151",34,21,1.63746121560667,0.0756424091201927,0.95036086725347,2.82132748201735,"Stomach cancer"
"153",3,0,217810636.694836,0.998205729211532,0,Inf,"Colorectal cancer"
"153.2",341,197,1.75467512463164,3.33483766198006e-10,1.47235460040616,2.09112994393588,"Colon cancer"
"153.3",89,47,1.90475365395184,0.00035241687809044,1.33767161624212,2.71224001331145,"Cancer of the lower GI tract"
"155",22,3,7.3486270577181,0.00119247579000905,2.19949758235898,24.5521159316341,"Hepatic cancer"
"155.1",42,6,7.03170358866562,7.86170554887534e-06,2.98922925622346,16.54100476098,"Hepatic cancer, primary"
"157",55,17,3.25425208835439,2.1241259540452e-05,1.88888029014733,5.60657904569109,"Pancreatic cancer"
"158",22,4,5.59975577431612,0.00153034368205508,1.92939813878474,16.2523556448217,"Neoplasm of unspecified nature of digestive system"
"159",10,8,1.26355131640534,0.621920818395851,0.498663975233565,3.20167890299647,"Cancer of the digestive organs and peritoneum"
"159.2",4,4,1.00945949815734,0.989377078530706,0.252447096257226,4.03652287361531,"Malignant neoplasm of small intestine"
"159.3",10,1,10.0325857557228,0.0279129681903507,1.28426822640796,78.3736410169182,"Malignant neoplasm of gallbladder & extrahepatic bile ducts"
"159.4",12,2,6.00961119891704,0.0188721334117948,1.3450147168847,26.8513246054281,"Malignant neoplasm of retroperitoneum and peritoneum"
"164",8,0,221477920.927123,0.9970673090597,0,Inf,"Cancer of intrathoracic organs"
"165",4,3,1.33579641048878,0.704629036532519,0.298965997225254,5.96841134722857,"Cancer within the respiratory system"
"165.1",453,140,3.2559706334476,2.82546922244203e-34,2.69382460966397,3.93542501907561,"Lung cancer"
"170",0,0,NA,NA,NA,NA,"Cancer of bone & connective tissue"
"170.1",23,3,7.78495936240833,0.000829486161511177,2.33714466789896,25.931468045935,"Bone cancer"
"170.2",43,17,2.5621498175516,0.00102492918527847,1.46120126696383,4.49261291787684,"Cancer of connective tissue"
"172",0,0,NA,NA,NA,NA,"Skin cancer"
"172.1",72,129,0.571410733912807,0.000142510468587618,0.428263920569059,0.762404235212996,"Melanoma"
"172.11",84,55,1.54919332744921,0.0116246781867602,1.1026659707614,2.17654305968645,"Melanomas of skin"
"172.2",448,838,0.544095395103934,2.5401486966766e-25,0.485120709551715,0.610239458230648,"Non-melanoma skin cancer"
"172.21",78,141,0.573826451275983,8.31495832622757e-05,0.435147972692842,0.75670074744072,"Basal cell carcinoma (new)"
"172.22",91,109,0.862158500642607,0.296404813399893,0.652651141930562,1.13891975739375,"Squamous cell carcinoma"
"172.3",45,76,0.620561538163885,0.0112275925913093,0.42914877618641,0.897349926220112,"Carcinoma in situ of skin"
"173",236,502,0.484472511581962,4.29958220720096e-20,0.415025720078892,0.565539924691697,"Skin neoplasm of uncertain behavior"
"174",0,0,NA,NA,NA,NA,"Breast cancer"
"174.1",25,41,0.625121770111698,0.064206540627238,0.380091504263111,1.02811355445891,"Breast cancer, including in situ"
"174.11",790,700,1.14294229596737,0.010061326794574,1.0323738221972,1.26535278580673,"Breast cancer"
"174.2",3,3,1.00423536404203,0.995870014724263,0.202684106600125,4.97566722575969,"Breast cancer [male]"
"174.3",6,7,0.872151476355511,0.805795195199299,0.293080560301854,2.59535534163603,"Neoplasm of uncertain behavior of breast"
"175",58,52,1.14598127682804,0.475621397756079,0.788110773801489,1.66635596225363,"Acquired absence of breast"
"180",0,0,NA,NA,NA,NA,"Cervical cancer and dysplasia"
"180.1",19,11,1.76337159767788,0.134453721088502,0.839006547917048,3.70614436706932,"Cervical cancer"
"180.3",11,15,0.780502171231506,0.532843243305241,0.358217410576484,1.70059751790603,"Cervical intraepithelial neoplasia (Cervical dysplasia)"
"182",62,56,1.11881804241758,0.542552908465047,0.779514637759418,1.60581181084303,"Uterine cancer"
"184",0,0,NA,NA,NA,NA,"Cancer of other female genital organs"
"184.1",7,2,3.52377941858176,0.116212314426306,0.731999190978239,16.963162724574,"Ovarian cancer"
"184.11",66,44,1.5124080055081,0.0335520689470566,1.03272836171116,2.21488830938559,"Malignant neoplasm of ovary"
"184.2",12,7,1.74792299551214,0.240506503822933,0.68792536824348,4.44123002185724,"Cancer of other female genital organs"
"185",774,778,1.00735286566166,0.885272564881451,0.911934352311005,1.11275531334594,"Prostate cancer"
"187",0,0,NA,NA,NA,NA,"Cancer of other male genital organs"
"187.1",3,2,1.49927042420115,0.657310500424435,0.250517849557603,8.97266126487103,"Malignant neoplasm of male genital organ"
"187.2",22,7,3.17391436288386,0.00778115734666121,1.35582262716536,7.42997806725044,"Malignant neoplasm of testis"
"187.8",7,8,0.89146410132104,0.824329407064914,0.323256966505093,2.4584411978376,"Neoplasm of uncertain behavior of male genital organs"
"189",0,0,NA,NA,NA,NA,"Cancer of kidney and urinary organs"
"189.1",32,7,4.65128778242569,0.000229900220240703,2.0529512443343,10.5382327489019,"Cancer of kidney and renal pelvis"
"189.11",96,54,1.79529435529138,0.000581937647576992,1.28628060914512,2.50573770546319,"Renal cell carcinoma"
"189.12",15,6,2.52775634649739,0.0549032941868662,0.980709308151426,6.51523554854568,"Malignant neoplasm of renal pelvis"
"189.2",27,21,1.32097607151495,0.338861245271898,0.746702854350296,2.33691055464544,"Bladder cancer and neoplasms"
"189.21",256,223,1.15923513990631,0.106747017480829,0.968714584126036,1.38722605359141,"Bladder cancer"
"189.4",8,5,1.63433278661052,0.389065975848294,0.534407370333491,4.9981415034064,"Malignant neoplasm of kidney and other urinary organs"
"190",8,14,0.575897312486659,0.213115299815445,0.241589155158411,1.37281706338137,"Cancer of eye"
"191",103,8,13.0321899781404,2.66191059611831e-12,6.34706782964317,26.7584938722627,"Malignant neoplasm of brain and nervous system"
"191.1",13,2,6.52702015585275,0.0135191999036979,1.4729149756373,28.92359220971,"Cancer of brain and nervous system"
"191.11",240,8,30.1710563131356,2.55793282821138e-21,14.9165811890331,61.0255545499703,"Brain cancer"
"193",67,62,1.09256395711722,0.61545222793745,0.773445675688938,1.54334821166123,"Thyroid cancer"
"194",9,1,8.99082508329178,0.0372055486381302,1.13907883846749,70.9651807658048,"Cancer of other endocrine glands"
"195",97,19,5.16117160141766,6.09599893484278e-11,3.15638711431015,8.43929826557475,"Cancer, suspected or other"
"195.1",128,31,4.1753472179614,9.38078235282212e-13,2.82028374272399,6.18147887974551,"Malignant neoplasm, other"
"195.3",0,0,NA,NA,NA,NA,"Malignant neoplasm of head, face, and neck"
"196",59,24,2.48088669964631,0.00017492036393129,1.54352183705276,3.98750355760051,"Radiotherapy"
"197",357,137,2.62317602273437,8.35918198086129e-22,2.15415731440201,3.194312875965,"Chemotherapy"
"198",117,24,4.91975126189927,1.16260853538189e-12,3.17097684460375,7.63296411960522,"Secondary malignant neoplasm"
"198.1",101,35,2.9137952473795,4.98013023014099e-08,1.98376000250996,4.27985377914117,"Secondary malignancy of lymph nodes"
"198.2",121,25,4.86654731150541,5.90685112880825e-13,3.16384717288118,7.4855963139184,"Secondary malignancy of lung"
"198.3",38,12,3.18105802255446,0.000474709053300028,1.66228189107152,6.08749346137388,"Secondary malignant neoplasm of digestive systems"
"198.4",119,20,5.9731292354375,1.40939727689746e-13,3.71954947447901,9.59209525455651,"Secondary malignant neoplasm of liver"
"198.5",194,9,21.6042746799032,2.02363560114138e-19,11.0738435979374,42.1483905129056,"Secondary malignancy of brain/spine"
"198.6",238,71,3.36629566761244,2.81156939080964e-19,2.58251898042571,4.3879431700898,"Secondary malignancy of bone"
"198.7",13,0,220064609.90959,0.996263201430682,0,Inf,"Secondary malignant neoplasm of skin"
"199",132,80,1.69100435394177,0.000210260736494237,1.28085282056665,2.23249360046298,"Neoplasm of uncertain behavior"
"199.4",11,3,3.68922802067527,0.0450572490182807,1.0291791218164,13.2245234090199,"Neurofibromatosis"
"200",170,109,1.57067603402547,0.000234003321776309,1.23488711233788,1.99777224915029,"Myeloproliferative disease"
"200.1",41,16,2.57127653497588,0.00135652549630017,1.44288236714289,4.58212198712306,"Polycythemia vera"
"201",19,19,1.02107517588322,0.948754567209471,0.540554083435799,1.92875152876129,"Hodgkin's disease"
"202",20,9,2.26958570096475,0.0411951921596814,1.03329968407822,4.98501967376365,"Cancer of other lymphoid, histiocytic tissue"
"202.2",272,131,2.08897753762318,4.30669485419313e-12,1.69592421151464,2.57312627714469,"Non-Hodgkins lymphoma"
"202.21",39,17,2.30429275511076,0.00407552409655652,1.30361693177676,4.07310228321368,"Nodular lymphoma"
"202.22",14,8,1.78593497354248,0.190855556546986,0.748987089438667,4.25850294978064,"Reticulosarcoma"
"202.23",7,1,7.04290312196973,0.0678615224325619,0.866498225807482,57.2447616257112,"Lymphosarcoma"
"202.24",24,4,6.00088086440891,0.000906818991430389,2.08214491803274,17.2949398655943,"Large cell lymphoma"
"204",55,15,3.73818874023145,6.01042190331957e-06,2.11190353898404,6.61680554989532,"Leukemia"
"204.1",14,5,2.89748619450856,0.0413107274005238,1.04282916922434,8.05062468056227,"Lymphoid leukemia"
"204.11",34,2,17.0467541864635,9.71340965234893e-05,4.09543099777839,70.9551274215936,"Lymphoid leukemia, acute"
"204.12",102,98,1.04828157310809,0.738883990913932,0.794454777050974,1.3832055495935,"Chronic lymphoid leukemia"
"204.2",12,0,220027966.586583,0.996408913296011,0,Inf,"Myeloid leukemia"
"204.21",54,7,7.7308216233034,3.55958703548753e-07,3.5178642905216,16.9891724170161,"Myeloid leukemia, acute"
"204.22",31,15,2.07213326199891,0.0205359424135962,1.11863864293102,3.83835860008552,"Myeloid leukemia, chronic"
"204.3",4,1,3.99632935282443,0.215302348896719,0.44667096032505,35.7548390533919,"Monocytic leukemia"
"204.4",130,43,3.02638958229749,3.08006180546917e-10,2.14378097920908,4.2723739004429,"Multiple myeloma"
"208",238,294,0.868174503422282,0.105214894253157,0.731701903518405,1.0301011446987,"Benign neoplasm of colon"
"209",9,3,3.02980672101792,0.0963919741776546,0.820158104431647,11.1926331241788,"Neuroendocrine tumors"
"210",5,1,5.11566183865122,0.13621559470984,0.597618969701586,43.7904373425429,"Benign neoplasm of lip, oral cavity, and pharynx"
"211",30,18,1.74923456943246,0.0608754080604519,0.974797038735432,3.13893195948455,"Benign neoplasm of other parts of digestive system"
"212",5,3,1.68544511453667,0.474736134310858,0.402776203897726,7.05286262352492,"Benign neoplasm of respiratory and intrathoracic organs"
"213",3,3,1.08902942200927,0.916986795337235,0.219047751088264,5.41427645848759,"Benign neoplasm of bone and articular cartilage"
"214",6,3,2.01940739953644,0.320275627468389,0.505032531615222,8.07473972470653,"Lipoma"
"214.1",2,5,0.407486685849509,0.283280779612622,0.0790540721708239,2.10040285825905,"Lipoma of skin & subcutaneous tissue"
"215",5,3,1.69518585778993,0.469915551465942,0.405049015009076,7.09458605247216,"Other benign neoplasm of connective and other soft tissue"
"216",305,673,0.466598161319475,2.423011885464e-28,0.407544331976272,0.534208985537777,"Benign neoplasm of skin"
"216.1",224,316,0.721796392833584,0.000189785506480824,0.608221817317787,0.856578994494313,"Screening for malignant neoplasms of the skin"
"217",0,2,4.56805719795169e-09,0.998534426751997,0,Inf,"Vascular hamartomas and non-neoplastic nevi"
"217.1",5,11,0.470551644909263,0.162286896040095,0.163463263842103,1.35454808207361,"Nevus, non-neoplastic"
"218",0,0,NA,NA,NA,NA,"Benign neoplasm of uterus"
"218.1",61,66,0.960516497402599,0.820642146552397,0.678048627695816,1.36065748693831,"Uterine leiomyoma"
"218.2",0,0,NA,NA,NA,NA,"Benign neoplasm of uterus"
"220",4,0,220656143.095771,0.997926605753853,0,Inf,"Benign neoplasm of ovary"
"221",0,1,4.56388847529808e-09,0.998963592090234,0,Inf,"Benign female genital neoplasms"
"222",4,2,2.04133687107784,0.409958549810769,0.37387173022753,11.1456841593396,"Benign neoplasm of male genital organs"
"223",3,5,0.621363664321292,0.51488413554539,0.148392875774482,2.60182843228634,"Benign neoplasm of urinary organs"
"224",1,3,0.337481205479842,0.346853567364018,0.0351042842539533,3.24443487376619,"Benign neoplasm of eye"
"224.1",40,80,0.51593451518978,0.000633576590002915,0.352965562479637,0.754148427665576,"Benign neoplasm of eye, uveal"
"225",105,24,4.4087992882024,5.48782548597339e-11,2.82961444167293,6.8693143763297,"Benign neoplasm of brain and other parts of nervous system"
"225.1",18,1,18.1979694146067,0.00474448974725814,2.42931753250465,136.320627659376,"Benign neoplasm of brain, cranial nerves, meninges"
"225.2",0,0,NA,NA,NA,NA,"Benign neoplasm of spinal cord, meninges"
"226",5,5,1.00013923832751,0.999824354770084,0.28954130752502,3.45470048675487,"Benign neoplasm of thyroid glands"
"227",39,17,2.34003408624819,0.00344571392689343,1.32375468390668,4.13653646810395,"Benign neoplasm of other endocrine glands"
"227.1",2,1,2.06071947291789,0.554970898069489,0.186825419650231,22.7301228816361,"Benign neoplasm of adrenal gland"
"227.2",0,0,NA,NA,NA,NA,"Benign neoplasm of parathyroid gland"
"227.3",6,4,1.5034928672969,0.527554682675564,0.424277293189628,5.32786184482973,"Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)"
"228",17,11,1.59815946546507,0.225727014230418,0.748491995207009,3.41234601493527,"Hemangioma and lymphangioma, any site"
"228.1",25,52,0.493791039933875,0.00374743893712298,0.306428930973307,0.795713349730081,"Hemangioma of skin & subcutaneous tissue"
"229",2,2,0.997498803673944,0.998001838222189,0.14051088964003,7.08132918295528,"Benign neoplasm of unspecified sites"
"229.1",0,0,NA,NA,NA,NA,"Benign neoplasm of lymph nodes"
"230",1,2,0.498482106625031,0.569739874357012,0.0452006404698587,5.4973648170102,"Kaposi's sarcoma"
"240",32,39,0.830783773891517,0.437040960406349,0.520535797594467,1.32594469419978,"Simple goiter"
"241",8,10,0.81089023132731,0.658568982350848,0.320015607755257,2.05472155522157,"Nontoxic nodular goiter"
"241.1",82,85,0.991513111019784,0.956098247438726,0.732002331078303,1.34302611834028,"Nontoxic uninodular goiter"
"241.2",104,105,1.01057153241053,0.939415123852761,0.770539469512139,1.32537639215959,"Nontoxic multinodular goiter"
"242",124,75,1.68688480030163,0.000351943340903175,1.26631919576754,2.24712721642343,"Thyrotoxicosis"
"242.1",53,38,1.40868633137561,0.106975662351252,0.928688531656256,2.13677364645112,"Graves' disease"
"242.2",8,5,1.61422347846476,0.400943104561769,0.528066072842237,4.93445341868298,"Toxic multinodular goiter"
"242.3",5,3,1.67838980360378,0.478284293643443,0.401101670961772,7.02313786448828,"Exophthalmos"
"244",4539,2132,2.24225724732173,1.21782574571724e-207,2.12977296727884,2.36068240155693,"Hypothyroidism"
"244.1",104,94,1.12349992787506,0.41325870957749,0.850008646389621,1.48498735077182,"Iatrogenic hypothyroidism"
"244.2",189,116,1.67137652238605,1.34303012510944e-05,1.32627376501696,2.1062766626825,"Acquired hypothyroidism"
"244.3",7,3,2.39277030554855,0.206239003732733,0.618534323701806,9.25631693460405,"Iodine hypothyroidism"
"244.4",516,240,2.17366886221026,2.87866552970513e-23,1.86502432569726,2.53339125792689,"Hypothyroidism NOS"
"244.5",7,1,7.14909434926343,0.0657945024131606,0.879460280891658,58.1146768366298,"Congenital hypothyroidism"
"245",7,9,0.788575044873849,0.637426940521125,0.293663824360061,2.11755943297715,"Thyroiditis"
"245.1",2,1,2.0230523193444,0.565102259571169,0.183420553439459,22.3134245866053,"Thyroiditis, acute and subacute"
"245.2",53,30,1.79909222926131,0.0101666870536985,1.14960781272403,2.81551048415276,"Chronic lymphocytic thyroiditis"
"245.21",14,9,1.56088095780377,0.297355095569565,0.675601920193205,3.60619070433914,"Chronic lymphocytic thyroiditis"
"246",81,35,2.40557421689299,1.44016977347416e-05,1.61795029788724,3.5766162412633,"Other disorders of thyroid"
"246.2",1,2,0.507682919198917,0.579936667763289,0.0460301081565976,5.59942083058937,"Thyroid cyst"
"246.7",15,14,1.0901279819604,0.816384251076733,0.526178503057446,2.25850925141902,"Abnormal thyroid function"
"249",54,12,4.622590573928,1.62343468908885e-06,2.47249602558481,8.64241778067725,"Secondary diabetes mellitus"
"250",5,2,2.51074198892766,0.271220173260272,0.487087436445919,12.9418762696096,"Diabetes mellitus"
"250.1",743,260,2.9095697247155,1.08927938721837e-49,2.52630890940242,3.35097420251094,"Type 1 diabetes"
"250.11",206,66,3.15993274944054,4.16401445778485e-16,2.39481092110305,4.16950452872817,"Type 1 diabetic ketoacidosis"
"250.12",56,11,5.14401033491928,6.83413588710232e-07,2.6950616476218,9.8182697783949,"Type 1 diabetes nephropathy"
"250.13",47,13,3.66943968941172,3.3511958845214e-05,1.98533467721668,6.78212484209807,"Type 1 diabetic retinopathy"
"250.14",112,39,2.90458273491934,9.78006055079352e-09,2.01747811491569,4.18175582754417,"Type 1 diabetic neuropathy"
"250.15",61,26,2.3746834929888,0.000222281410532018,1.50045189773886,3.75828222175697,"Type 1 diabetic peripheral circulatory disorders"
"250.2",8545,4032,2.30552956846129,2.2250738585072e-308,2.22077383098174,2.39352000500631,"Type 2 diabetes"
"250.21",1884,577,3.35649685094152,7.71739254398384e-143,3.05760198171403,3.68461008913423,"Type 2 diabetic ketoacidosis"
"250.22",629,243,2.65051359527177,4.39040246132605e-38,2.28570858832316,3.07354242557855,"Type 2 diabetic nephropathy"
"250.23",309,168,1.88450112136918,3.86156425658444e-11,1.56166484352801,2.27407595884579,"Type 2 diabetic retinopathy"
"250.24",1132,413,2.81523312495718,1.92177781358528e-72,2.51518653475616,3.15107346446753,"Type 2 diabetic neuropathy"
"250.25",477,217,2.24435877772445,5.57829407445722e-23,1.91151601953626,2.63515778662992,"Type 2 diabetic peripheral circulatory disorders"
"250.3",368,79,4.80137009203655,1.1207803372524e-36,3.76525788512369,6.12259650309337,"Insulin pump user"
"250.4",0,0,NA,NA,NA,NA,"Abnormal glucose"
