"Phecode","Number of Schizophrenia Patients","Number of Non-Schizophrenic Participants","Odds Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"214.1",1,1,1,1,0.0127441265657664,78.4675195149288,"Lipoma of skin & subcutaneous tissue"
"215",1,1,1,1,0.0127441265657664,78.4675195149288,"Other benign neoplasm of connective and other soft tissue"
"216",74,109,0.674003046856885,0.0109814416176052,0.49336339835881,0.916450232231803,"Benign neoplasm of skin"
"216.1",40,36,1.11201369415454,0.729995877331092,0.689648393047571,1.79879664458488,"Screening for malignant neoplasms of the skin"
"217",1,1,1,1,0.0127441265657664,78.4675195149288,"Vascular hamartomas and non-neoplastic nevi"
"217.1",2,1,2.00026106730364,1,0.10409425690347,117.963010975736,"Nevus, non-neoplastic"
"218",0,0,0,1,0,Inf,"Benign neoplasm of uterus"
"218.1",4,4,1,1,0.186132185432406,5.37252596952476,"Uterine leiomyoma"
"218.2",0,0,0,1,0,Inf,"Benign neoplasm of uterus"
"220",4,2,2.00066988154151,0.68740423901741,0.286580041976312,22.1264387631198,"Benign neoplasm of ovary"
"221",2,1,2.00026106730364,1,0.10409425690347,117.963010975736,"Benign female genital neoplasms"
"222",0,0,0,1,0,Inf,"Benign neoplasm of male genital organs"
"223",0,0,0,1,0,Inf,"Benign neoplasm of urinary organs"
"224",0,0,0,1,0,Inf,"Benign neoplasm of eye"
"224.1",0,0,0,1,0,Inf,"Benign neoplasm of eye, uveal"
"225",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Benign neoplasm of brain and other parts of nervous system"
"225.1",0,0,0,1,0,Inf,"Benign neoplasm of brain, cranial nerves, meninges"
"225.2",0,0,0,1,0,Inf,"Benign neoplasm of spinal cord, meninges"
"226",1,3,0.333211046611129,0.624923402950941,0.00635073677049683,4.15168872028168,"Benign neoplasm of thyroid glands"
"227",4,3,1.33356245623552,1,0.22548098068058,9.10689006669547,"Benign neoplasm of other endocrine glands"
"227.1",0,0,0,1,0,Inf,"Benign neoplasm of adrenal gland"
"227.2",0,0,0,1,0,Inf,"Benign neoplasm of parathyroid gland"
"227.3",1,0,Inf,1,0.0256406640625001,Inf,"Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)"
"228",5,0,Inf,0.0624361886808128,0.916714189106132,Inf,"Hemangioma and lymphangioma, any site"
"228.1",1,1,1,1,0.0127441265657664,78.4675195149288,"Hemangioma of skin & subcutaneous tissue"
"229",0,0,0,1,0,Inf,"Benign neoplasm of unspecified sites"
"229.1",0,0,0,1,0,Inf,"Benign neoplasm of lymph nodes"
"230",0,0,0,1,0,Inf,"Kaposi's sarcoma"
"240",10,12,0.833008947967302,0.831622697541078,0.322038049407659,2.10602121286429,"Simple goiter"
"241",5,4,1.25022450036644,1,0.268915036364006,6.30455276143358,"Nontoxic nodular goiter"
"241.1",6,11,0.544933100302149,0.331881347252944,0.165337290228175,1.60904467564168,"Nontoxic uninodular goiter"
"241.2",7,3,2.33518764238638,0.343498601741615,0.532692386822923,14.0022576846729,"Nontoxic multinodular goiter"
"242",18,6,3.00724171951017,0.0224938645674846,1.14226810458275,9.26101042984537,"Thyrotoxicosis"
"242.1",7,9,0.777481605655589,0.803458787251663,0.245856386082064,2.34818544962973,"Graves' disease"
"242.2",0,0,0,1,0,Inf,"Toxic multinodular goiter"
"242.3",1,1,1,1,0.0127441265657664,78.4675195149288,"Exophthalmos"
"244",106,48,2.23490156910486,2.84123705931878e-06,1.57085930615712,3.22003029184786,"Hypothyroidism"
"244.1",7,4,1.75096504739267,0.548597629494097,0.444802021505915,8.16211199059912,"Iatrogenic hypothyroidism"
"244.2",15,6,2.5045233003783,0.0780368664117355,0.917288090474378,7.88502285762086,"Acquired hypothyroidism"
"244.3",0,0,0,1,0,Inf,"Iodine hypothyroidism"
"244.4",43,14,3.08963993165148,0.000147427617381089,1.65536932099565,6.12280603633037,"Hypothyroidism NOS"
"244.5",1,1,1,1,0.0127441265657664,78.4675195149288,"Congenital hypothyroidism"
"245",2,4,0.499832585688502,0.68740423901741,0.0451948011474305,3.48942652497293,"Thyroiditis"
"245.1",1,1,1,1,0.0127441265657664,78.4675195149288,"Thyroiditis, acute and subacute"
"245.2",15,7,2.14619780791525,0.133364409807577,0.822826224625383,6.22807607885807,"Chronic lymphocytic thyroiditis"
"245.21",10,2,5.00730711943237,0.0384590945866697,1.06636309580223,47.0238981205123,"Chronic lymphocytic thyroiditis"
"246",13,6,2.1695975920576,0.166656129509388,0.768640645406961,6.96810702347096,"Other disorders of thyroid"
"246.2",0,1,0,1,0,39.0005499686929,"Thyroid cyst"
"246.7",10,8,1.25048049378322,0.814358757910828,0.443941560032506,3.64929968858195,"Abnormal thyroid function"
"249",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Secondary diabetes mellitus"
"250",0,0,0,1,0,Inf,"Diabetes mellitus"
"250.1",32,15,2.14061771942076,0.0183454780901842,1.12443990645433,4.25966786816603,"Type 1 diabetes"
"250.11",29,8,3.63987914393169,0.000736384463724084,1.62162187464363,9.22378699585795,"Type 1 diabetic ketoacidosis"
"250.12",4,0,Inf,0.124923418594964,0.660285139988072,Inf,"Type 1 diabetes nephropathy"
"250.13",3,0,Inf,0.249923414683958,0.413278436640516,Inf,"Type 1 diabetic retinopathy"
"250.14",6,0,Inf,0.0312021488432461,1.17810890620027,Inf,"Type 1 diabetic neuropathy"
"250.15",0,0,0,1,0,Inf,"Type 1 diabetic peripheral circulatory disorders"
"250.2",85,7,12.3419452502359,2.82133796638338e-18,5.72650958652389,31.6390056042695,"Type 2 diabetes"
"250.21",28,3,9.37965802700034,4.5073079492709e-06,2.89431305896778,48.2996166124547,"Type 2 diabetic ketoacidosis"
"250.22",4,0,Inf,0.124923418594964,0.660285139988072,Inf,"Type 2 diabetic nephropathy"
"250.23",1,0,Inf,1,0.0256406640625001,Inf,"Type 2 diabetic retinopathy"
"250.24",7,2,3.50285085027977,0.179486432756712,0.666542622450943,34.5840689756446,"Type 2 diabetic neuropathy"
"250.25",0,0,0,1,0,Inf,"Type 2 diabetic peripheral circulatory disorders"
"250.3",22,3,7.36068282169253,0.000153767952888316,2.20913839015925,38.4084545205394,"Insulin pump user"
"250.4",0,0,0,1,0,Inf,"Abnormal glucose"
"250.41",6,2,3.00232616356242,0.288861412209944,0.536486640863501,30.4312797060659,"Impaired fasting glucose"
"250.42",22,4,5.51935832970525,0.000525060207284947,1.87260851659892,22.0488870916057,"Other abnormal glucose"
"250.5",1,0,Inf,1,0.0256406640625001,Inf,"Glycosuria or Acetonuria"
"250.6",4,0,Inf,0.124923418594964,0.660285139988072,Inf,"Polyneuropathy in diabetes"
"250.7",1,0,Inf,1,0.0256406640625001,Inf,"Diabetic retinopathy"
"251",1,0,Inf,1,0.0256406640625001,Inf,"Other disorders of pancreatic internal secretion"
"251.1",29,3,9.71642003735271,2.47167664752969e-06,3.00879353040167,49.8835355080162,"Hypoglycemia"
"251.8",0,1,0,1,0,39.0005499686929,"Other specified disorders of pancreatic internal secretion"
"252",0,0,0,1,0,Inf,"Disorders of parathyroid gland"
"252.1",1,0,Inf,1,0.0256406640625001,Inf,"Hyperparathyroidism"
"252.2",0,1,0,1,0,39.0005499686929,"Hypoparathyroidism"
"253",1,1,1,1,0.0127441265657664,78.4675195149288,"Disorders of the pituitary gland and its hypothalamic control"
"253.1",9,2,4.50562280085183,0.0652816328968019,0.931953071714923,42.8359630209716,"Pituitary hyperfunction"
"253.11",0,0,0,1,0,Inf,"Acromegaly and gigantism"
"253.2",5,1,5.00321402927086,0.218606387868646,0.559605785796566,236.468153045554,"Pituitary hypofunction"
"253.3",4,0,Inf,0.124923418594964,0.660285139988072,Inf,"Posterior pituitary disorders"
"253.4",1,0,Inf,1,0.0256406640625001,Inf,"Anterior pituitary disorders"
"253.7",0,0,0,1,0,Inf,"Other disorders of neurohypophysis"
"254",0,0,0,1,0,Inf,"Diseases of thymus gland"
"255",1,1,1,1,0.0127441265657664,78.4675195149288,"Disorders of adrenal glands"
"255.1",1,0,Inf,1,0.0256406640625001,Inf,"Adrenal hyperfunction"
"255.11",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Cushing's syndrome"
"255.12",0,0,0,1,0,Inf,"Hyperaldosteronism"
"255.13",0,0,0,1,0,Inf,"Medulloadrenal hyperfunction"
"255.2",5,0,Inf,0.0624361886808128,0.916714189106132,Inf,"Adrenal hypofunction"
"255.21",1,0,Inf,1,0.0256406640625001,Inf,"Glucocorticoid deficiency"
"255.3",1,2,0.499934741692495,1,0.00847723359829884,9.60667792582765,"Adrenogenital disorders"
"255.9",2,1,2.00026106730364,1,0.10409425690347,117.963010975736,"Other disorders of adrenal glands"
"256",6,3,2.00107903009183,0.507611371116409,0.427072786711637,12.3730442614649,"Ovarian dysfunction"
"256.1",0,0,0,1,0,Inf,"Hyperestrogenism"
"256.4",77,41,1.89194388792884,0.0011002920891075,1.27600881298064,2.84142702628595,"Polycystic ovaries"
"257",0,0,0,1,0,Inf,"Testicular dysfunction"
"257.1",0,0,0,1,0,Inf,"Testicular hypofunction"
"258",0,1,0,1,0,39.0005499686929,"Iatrogenic endocrine disorders"
"258.1",0,0,0,1,0,Inf,"Postablative ovarian failure"
"259",15,6,2.5045233003783,0.0780368664117355,0.917288090474378,7.88502285762086,"Other endocrine disorders"
"259.1",2,1,2.00026106730364,1,0.10409425690347,117.963010975736,"Nonspecific abnormal results of other endocrine function study"
"259.2",0,0,0,1,0,Inf,"Carcinoid syndrome"
"259.3",1,0,Inf,1,0.0256406640625001,Inf,"Delay in sexual development and puberty NEC"
"259.4",0,0,0,1,0,Inf,"Precocious sexual development and puberty NEC"
"259.8",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Polyglandular dysfunction and related disorders"
"260",38,5,7.65032759013589,2.36670805216928e-07,3.00305002125464,24.923236226246,"Protein-calorie malnutrition"
"260.1",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Cachexia"
"260.2",9,0,Inf,0.0038919056475841,1.97597000239633,Inf,"severe protein-calorie malnutrition"
"260.21",0,0,0,1,0,Inf,"Kwashiorkor"
"260.22",0,0,0,1,0,Inf,"Nutritional marasmus"
"260.3",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Adult failure to thrive"
"260.5",14,4,3.50643351203389,0.0307337235467839,1.10029785871212,14.6365726498057,"Abnormal loss of weight and underweight"
"260.6",31,3,10.3895062163006,7.36718925295148e-07,3.23810936063274,53.1222978636656,"Anorexia"
"260.7",14,0,Inf,0.000120939809533393,3.32365588019566,Inf,"Polyphagia"
"261",2,0,Inf,0.499948943122639,0.187814651426517,Inf,"Vitamin deficiency"
"261.1",0,0,0,1,0,Inf,"Vitamin A deficiency"
"261.2",16,9,1.78021406224812,0.228925570394364,0.739936941880789,4.57572066342431,"Vitamin B-complex deficiencies"
"261.3",0,0,0,1,0,Inf,"Vitamin C deficiencies"
"261.4",89,34,2.64744089437512,6.35421115700567e-07,1.76076873642511,4.06327541680968,"Vitamin D deficiency"
"261.41",2,2,1,1,0.0724800868201882,13.7968929656616,"Rickets or osteomalacia"
"262",3,1,3.0011010073282,0.624923402950941,0.240865842160766,157.462045135554,"Mineral deficiency NEC"
"263",5,3,1.66725262128895,0.726450761731338,0.324192696681783,10.7442498851097,"Other nutritional deficiency"
"264",16,5,3.20713095021795,0.0264453367824446,1.12144613663952,11.2020880632511,"Lack of normal physiological development"
"264.1",1,2,0.499934741692495,1,0.00847723359829884,9.60667792582765,"Short stature"
"264.2",11,0,Inf,0.000971087950355647,2.5136754795714,Inf,"Failure to thrive"
"264.3",0,0,0,1,0,Inf,"Delayed milestones"
