"Phecode","Number of Schizophrenia Patients","Number of Non-Schizophrenic Participants","Hazard Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"070.9",1,0,217194363.629325,0.99896420163953,0,Inf,"Hepatitis NOS"
"071",24,1,24.0756624199417,0.00182751273125519,3.25703169009494,177.964961999525,"Human immunodeficiency virus"
"071.1",42,5,8.39705048809169,6.86369764167411e-06,3.32227204460894,21.2235650641489,"HIV infection, symptomatic"
"078",42,51,0.840693213305427,0.405034129969735,0.558786443885345,1.26482144767782,"Viral warts & HPV"
"079",27,10,2.78959647912087,0.00562080540732587,1.34955376716887,5.76623822305987,"Viral infection"
"079.1",1,0,218630744.035836,0.99896373286796,0,Inf,"Varicella infection"
"079.2",1,1,0.993321946698708,0.996219689559966,0.062131121272476,15.8807449404653,"Infectious mononucleosis"
"079.9",1,0,221285111.942177,0.99896311772445,0,Inf,"Viremia, NOS"
"080",55,6,9.28440413544871,2.18804091864879e-07,3.99731024725943,21.5645408583025,"Postoperative infection"
"081",80,5,16.0842033855429,1.68125174075403e-09,6.516478539471,39.6996010929102,"Infection/inflammation of internal prosthetic device, implant or graft"
"081.1",0,0,NA,NA,NA,NA,"Graft-versus-host disease"
"081.11",0,0,NA,NA,NA,NA,"Acute graft-versus-host disease"
"081.12",0,0,NA,NA,NA,NA,"Chronic graft-versus-host disease"
"090",15,4,3.81511166011847,0.017363299200053,1.26593363761588,11.4975039343952,"Sexually transmitted infections"
"090.2",0,1,4.94379889716692e-09,0.998969303917993,0,Inf,"Gonococcal infections"
"090.3",0,0,NA,NA,NA,NA,"Venereal diseases due to Chlamydia trachomatis"
"1000",12,0,224943135.977035,0.996405994229537,0,Inf,"Burns"
"1001",32,6,5.59776027597964,0.000109011052601167,2.33961002972661,13.3932235326403,"Foreign body injury"
"1002",336,67,5.21307014073364,5.80084625386603e-35,4.01014430906911,6.77683848702122,"Symptoms concerning nutrition, metabolism, and development"
"1003",0,0,NA,NA,NA,NA,"Sudden death"
"1004",11,6,1.82902036900391,0.234178456899429,0.676418004458112,4.94563345177538,"Symptoms involving emotional state"
"1005",252,20,12.960756889778,2.83928517033246e-28,8.21986168539991,20.4360152986876,"Other symptoms"
"1006",1,0,219671738.76769,0.998963516740796,0,Inf,"Crushing injury"
"1007",3,0,220125621.559914,0.998204518790951,0,Inf,"Injury to blood vessels"
"1008",22,2,11.1549731292568,0.00109238016723597,2.62295529955674,47.4401624516704,"Internal injury to organs"
"1009",1227,134,10.0614207194416,6.18744782535295e-142,8.4174874758565,12.0264137230935,"Injury, NOS"
"1010",3061,2931,1.07618249496979,0.00450761274930347,1.02301640890845,1.13211161853715,"Other tests"
"1010.1",0,4,4.59816580741027e-09,0.997928083984643,0,Inf,"nan"
"1011",59,22,2.74336962755519,5.36909688893661e-05,1.68112487945267,4.4768101438381,"Complications of medical procedures NOS"
"1012",0,1,4.56625805884887e-09,0.998963652437394,0,Inf,"Late effect"
"1013",538,144,3.82176219492959,2.66151245026465e-46,3.17967096023142,4.59351500745536,"Asphyxia and hypoxemia"
"1014",1,2,0.498143517733972,0.569363554182239,0.0451698715055809,5.49363892323042,"Effects of heat, cold & air pressure"
"1015",604,56,11.3827456779647,7.40434044519983e-68,8.65589579507684,14.9686297336109,"Effects of other external causes"
"1019",2274,2192,1.04987753624046,0.103964276034398,0.990050298502681,1.1133200432032,"Other causes of morbidity & mortality"
"110",0,0,NA,NA,NA,NA,"Dermatophytosis / Dermatomycosis"
"110.1",1,0,227300260.599725,0.998961954654878,0,Inf,"Dermatophytosis"
"110.11",1957,802,2.53208953424583,9.8216776733704e-109,2.33228276790953,2.74901375495905,"Dermatophytosis of nail"
"110.12",20,22,0.926576238699523,0.805124666430775,0.505571656807818,1.69816387956438,"Althete's foot"
"110.13",5,1,5.47499567953569,0.120871930571868,0.638821342213127,46.9232564884063,"Dermatophytosis of the body"
"110.2",4,4,1.01843449582375,0.979393087130872,0.254665397112181,4.07282981530024,"Dermatomycoses"
"1100",1,2,0.540491165584359,0.615586325811887,0.0489499331330779,5.9679489097674,"x"
"112",112,17,6.76930872770069,2.04467352778959e-13,4.0639144035495,11.2757150128215,"Candidiasis"
"112.3",9,1,9.43632346668418,0.0332705355241972,1.19485009057587,74.5233241142229,"Candidiasis of skin and nails"
"117",10,0,217969388.012104,0.996723864281212,0,Inf,"Mycoses"
"117.1",1,0,217098994.807451,0.998964123219934,0,Inf,"Histoplasmosis"
"117.2",1,0,217781897.499452,0.99896396255968,0,Inf,"Coccidioidomycosis"
"117.3",1,0,217187391.770714,0.998964210765254,0,Inf,"Blastomycotic infection"
"117.4",5,0,218799522.601245,0.997683001384516,0,Inf,"Aspergillosis"
"130",2,0,217279803.222049,0.998535123619983,0,Inf,"Spirochetal infection"
"130.1",32,5,6.40730152911478,0.000112222794339127,2.4965655768281,16.4439954095479,"Lyme disease"
"131",0,1,4.54111252650355e-09,0.998963328526946,0,Inf,"Protozoan infection"
"132",2,0,246346795.185089,0.998530371742869,0,Inf,"Infestation"
"132.1",1,0,241056783.07787,0.998960453307689,0,Inf,"Pediculosis & phthirus infestation"
"133",3,0,220012276.669411,0.99820470605794,0,Inf,"Arthropod-borne diseases"
"134",0,0,NA,NA,NA,NA,"Helminthiases"
"134.1",0,0,NA,NA,NA,NA,"Intestinal helminthiases"
"136",22,0,235858695.373668,0.995128497143731,0,Inf,"Other infectious diseases"
"145",5,0,217515981.518119,0.997683434943256,0,Inf,"Cancer of mouth"
"145.1",0,0,NA,NA,NA,NA,"Cancer of lip"
"145.2",2,3,0.67220756283913,0.663495447165365,0.1123198282775,4.02300301262694,"Cancer of tongue"
"145.3",2,2,0.997340547244411,0.997875241530133,0.140488625473117,7.08020427865968,"Cancer of major salivary glands"
"145.4",1,0,218536369.438967,0.99896376975299,0,Inf,"Cancer of the gums"
"145.5",0,0,NA,NA,NA,NA,"Cancer of the mouth floor"
"149",0,0,NA,NA,NA,NA,"Cancer of the upper aerodigestive tract"
"149.1",0,1,4.54674632026329e-09,0.998963502728155,0,Inf,"Cancer of oropharynx"
"149.2",0,1,4.56813244873011e-09,0.99896368720277,0,Inf,"Cancer of nasopharynx"
"149.3",0,0,NA,NA,NA,NA,"Cancer of hypopharynx"
"149.4",10,2,5.05896663279608,0.0363663606554874,1.1083862233069,23.0904560644811,"Cancer of larynx"
"149.5",2,2,1.00996136700986,0.992091570804061,0.142261870373619,7.17003059339488,"Hx of malignant neoplasm of oral cavity and pharynx"
"149.9",2,2,0.994551267889994,0.99564068062042,0.140095624702836,7.06040767910987,"Cancer of of nasal cavities"
"150",10,2,5.02606936321041,0.0371172939113672,1.10124787150042,22.9388622648454,"Esophageal cancer"
"151",14,9,1.57559409073541,0.287385630135523,0.681859353173431,3.64077536988615,"Stomach cancer"
"153",2,0,217911516.329016,0.998534709986837,0,Inf,"Colorectal cancer"
"153.2",160,105,1.53710677751237,0.000620076678733588,1.20168245965355,1.96615772036454,"Colon cancer"
"153.3",38,17,2.23714252801937,0.00578901321740471,1.26275740175555,3.96339525210065,"Cancer of the lower GI tract"
"155",13,1,12.9799959273589,0.0135052595303272,1.6980086337431,99.2222836363641,"Hepatic cancer"
"155.1",20,1,20.0400050604951,0.00343926789480772,2.68951374061976,149.321342649889,"Hepatic cancer, primary"
"157",22,7,3.13872754047301,0.008393155465466,1.34083438179439,7.34737317828899,"Pancreatic cancer"
"158",10,2,5.0572203965176,0.0364210867912876,1.10786957394729,23.0852789357049,"Neoplasm of unspecified nature of digestive system"
"159",3,2,1.51793039019415,0.647549383985524,0.253625958177555,9.08468788459711,"Cancer of the digestive organs and peritoneum"
"159.2",3,2,1.50094204445974,0.656432360852172,0.250791149438236,8.98288087866436,"Malignant neoplasm of small intestine"
"159.3",6,1,6.0139359790467,0.0967176860368905,0.724014468110598,49.9540099722807,"Malignant neoplasm of gallbladder & extrahepatic bile ducts"
"159.4",7,2,3.49654491218481,0.118468355522253,0.726370381270187,16.8313943384454,"Malignant neoplasm of retroperitoneum and peritoneum"
"164",4,0,217651271.440153,0.99792817758297,0,Inf,"Cancer of intrathoracic organs"
"165",1,2,0.500426295131146,0.571899603365562,0.045376884572865,5.51881159793058,"Cancer within the respiratory system"
"165.1",224,61,3.68718070848805,1.64070472260074e-19,2.77818200824482,4.89359643705834,"Lung cancer"
"170",0,0,NA,NA,NA,NA,"Cancer of bone & connective tissue"
"170.1",8,2,4.0953916367025,0.0746045239311714,0.869334673976686,19.2931826603094,"Bone cancer"
"170.2",17,6,2.83604071339252,0.0281497093032588,1.11817857198235,7.19306122434519,"Cancer of connective tissue"
"172",0,0,NA,NA,NA,NA,"Skin cancer"
"172.1",26,51,0.516650687015697,0.00613967957311192,0.322150953360979,0.828580296314353,"Melanoma"
"172.11",32,20,1.60358010947986,0.0975795047957745,0.91718721338671,2.80364698721029,"Melanomas of skin"
"172.2",166,324,0.517758295975748,5.36012533253771e-12,0.42941123577256,0.624281878813474,"Non-melanoma skin cancer"
"172.21",22,44,0.514553936386885,0.0109520939378991,0.308410592788811,0.858484629393195,"Basal cell carcinoma (new)"
"172.22",25,29,0.88958642559061,0.668248523491502,0.520958236645552,1.51905460539537,"Squamous cell carcinoma"
"172.3",11,26,0.44156316598242,0.0230995840699178,0.218128852941131,0.893866294731028,"Carcinoma in situ of skin"
"173",93,207,0.456985421433157,3.5525248412326e-10,0.357793609714679,0.583676370209561,"Skin neoplasm of uncertain behavior"
"174",0,0,NA,NA,NA,NA,"Breast cancer"
"174.1",25,41,0.619318591254767,0.0590698637240121,0.376581780450354,1.01851851944376,"Breast cancer, including in situ"
"174.11",784,694,1.13929046066238,0.0123506968703707,1.02865250612225,1.26182821315369,"Breast cancer"
"174.2",0,0,NA,NA,NA,NA,"Breast cancer [male]"
"174.3",5,7,0.720965825631046,0.576356509059637,0.228813222571319,2.27168568270062,"Neoplasm of uncertain behavior of breast"
"175",54,48,1.14362453300745,0.498761494635391,0.775191255683028,1.68716695771306,"Acquired absence of breast"
"180",0,0,NA,NA,NA,NA,"Cervical cancer and dysplasia"
"180.1",19,11,1.74955116863786,0.139908996558153,0.832483170783195,3.67686627082491,"Cervical cancer"
"180.3",11,15,0.768287950632425,0.507011563505261,0.352666031852568,1.67372619354997,"Cervical intraepithelial neoplasia (Cervical dysplasia)"
"182",62,56,1.11225619852207,0.563888538975277,0.77495399310784,1.59637070349104,"Uterine cancer"
"184",0,0,NA,NA,NA,NA,"Cancer of other female genital organs"
"184.1",7,2,3.49999968935138,0.11818207614454,0.727075798393398,16.848309148136,"Ovarian cancer"
"184.11",66,44,1.5061756499099,0.0353531549724287,1.02848954168357,2.2057249942163,"Malignant neoplasm of ovary"
"184.2",12,7,1.73728968870387,0.245628802676738,0.683815023534817,4.41373084620907,"Cancer of other female genital organs"
"185",1,0,217024184.117707,0.998964151213729,0,Inf,"Prostate cancer"
"187",0,0,NA,NA,NA,NA,"Cancer of other male genital organs"
"187.1",0,0,NA,NA,NA,NA,"Malignant neoplasm of male genital organ"
"187.2",0,0,NA,NA,NA,NA,"Malignant neoplasm of testis"
"187.8",0,0,NA,NA,NA,NA,"Neoplasm of uncertain behavior of male genital organs"
"189",0,0,NA,NA,NA,NA,"Cancer of kidney and urinary organs"
"189.1",15,1,15.135877766225,0.00851926885185128,1.99932082709652,114.586309835426,"Cancer of kidney and renal pelvis"
"189.11",42,23,1.83360807414017,0.0194289363562709,1.10280504603051,3.04869712162979,"Renal cell carcinoma"
"189.12",7,0,218800204.983921,0.99725849176079,0,Inf,"Malignant neoplasm of renal pelvis"
"189.2",8,4,2.0143372033702,0.252813648435868,0.606551141431511,6.68955029794376,"Bladder cancer and neoplasms"
"189.21",49,48,1.02413984406524,0.906499802077047,0.687850978829835,1.52483961276944,"Bladder cancer"
"189.4",4,2,1.99964342933373,0.423612473044179,0.366259351434457,10.9173290151285,"Malignant neoplasm of kidney and other urinary organs"
"190",4,5,0.800352345881023,0.739904180850098,0.214915308503405,2.98054094898089,"Cancer of eye"
"191",57,8,7.19815836700279,1.72188216190715e-07,3.4339661202256,15.0885250647284,"Malignant neoplasm of brain and nervous system"
"191.1",4,1,4.00193436678094,0.214838690185583,0.447297092749881,35.8050140177815,"Cancer of brain and nervous system"
"191.11",100,4,25.0978448902453,2.60931162765964e-10,9.23858848715839,68.1816079383091,"Brain cancer"
"193",48,47,1.02488070456685,0.904673686023512,0.685481216067677,1.53232566257474,"Thyroid cancer"
"194",7,0,218056544.660001,0.997258916670015,0,Inf,"Cancer of other endocrine glands"
"195",53,10,5.33388522437334,1.20083398524993e-06,2.71372781105368,10.4838559972386,"Cancer, suspected or other"
"195.1",62,11,5.66264116696291,1.16037546697139e-07,2.98215185464407,10.7524722243261,"Malignant neoplasm, other"
"195.3",0,0,NA,NA,NA,NA,"Malignant neoplasm of head, face, and neck"
"196",26,11,2.3713600712972,0.0163721909492429,1.17171066202748,4.79926381997092,"Radiotherapy"
"197",187,76,2.46405717059886,3.37605702713645e-11,1.88736580001735,3.21695865206619,"Chemotherapy"
"198",59,16,3.70301097191526,3.4105800998995e-06,2.13118778119725,6.43410701727166,"Secondary malignant neoplasm"
"198.1",48,18,2.68426231404281,0.00035375885091707,1.56153767407102,4.61421090904963,"Secondary malignancy of lymph nodes"
"198.2",68,14,4.87419260533457,6.77791635472846e-08,2.74210119691959,8.66406884639673,"Secondary malignancy of lung"
"198.3",23,11,2.09446533339569,0.0437303289224867,1.02100436309759,4.29653896824436,"Secondary malignant neoplasm of digestive systems"
"198.4",76,11,6.91835019866493,2.02658631246096e-09,3.67627680584548,13.0195771426301,"Secondary malignant neoplasm of liver"
"198.5",120,6,20.0333393141992,7.77062896536726e-13,8.82408538824394,45.4817316945419,"Secondary malignancy of brain/spine"
"198.6",126,26,4.852027804544,2.26280012995389e-13,3.18105791010837,7.40073726456178,"Secondary malignancy of bone"
"198.7",10,0,218813466.020692,0.996723265680134,0,Inf,"Secondary malignant neoplasm of skin"
"199",57,30,1.91946345492561,0.00384480674086272,1.2335930411316,2.98667375053871,"Neoplasm of uncertain behavior"
"199.4",4,2,2.00113665172117,0.423117269175038,0.366527552809708,10.9256394728417,"Neurofibromatosis"
"200",83,58,1.43675223211076,0.0342365918503451,1.02729038797019,2.00941914832279,"Myeloproliferative disease"
"200.1",15,9,1.66663462634608,0.225715930967635,0.729353003838551,3.80840411037861,"Polycythemia vera"
"201",5,11,0.457253787804675,0.146848112402602,0.158866098362692,1.31608334702341,"Hodgkin's disease"
"202",9,3,3.01671515241633,0.0976805225326242,0.816676143426827,11.1434261721319,"Cancer of other lymphoid, histiocytic tissue"
"202.2",119,74,1.60969795509815,0.00130190072015155,1.20428298027638,2.15159356155021,"Non-Hodgkins lymphoma"
"202.21",17,13,1.31097144923672,0.46240126819146,0.636757048189156,2.69906104000166,"Nodular lymphoma"
"202.22",5,1,4.99320328147377,0.142114082001872,0.583354255757631,42.739173947981,"Reticulosarcoma"
"202.23",3,1,3.01166244927149,0.339693138528595,0.313262528271848,28.9537046080434,"Lymphosarcoma"
"202.24",11,2,5.48587333699547,0.0268054990088218,1.21596665696526,24.7496969568777,"Large cell lymphoma"
"204",27,7,3.90179099836529,0.00132933779788322,1.69903072649191,8.96038709456318,"Leukemia"
"204.1",10,4,2.56328071773229,0.111846978592383,0.803273565157739,8.1795397270517,"Lymphoid leukemia"
"204.11",18,0,218479806.688935,0.995603962671994,0,Inf,"Lymphoid leukemia, acute"
"204.12",50,53,0.945780321018331,0.777372632149835,0.642643753380996,1.39190711948806,"Chronic lymphoid leukemia"
"204.2",6,0,217832640.238363,0.99746223888632,0,Inf,"Myeloid leukemia"
"204.21",23,3,7.68341398573474,0.000894724767753973,2.30692519640115,25.5902751282442,"Myeloid leukemia, acute"
"204.22",16,6,2.66782078876659,0.0403866342480229,1.04393050106255,6.8177601418207,"Myeloid leukemia, chronic"
"204.3",1,0,218630743.949523,0.998963732857542,0,Inf,"Monocytic leukemia"
"204.4",55,27,2.03619391273441,0.00247775342519811,1.28468760799407,3.22731037838094,"Multiple myeloma"
"208",114,142,0.847556317195524,0.188665830664952,0.662320828622983,1.0845977957715,"Benign neoplasm of colon"
"209",3,3,1.00940766537667,0.990850883215243,0.203700955962735,5.00195902422561,"Neuroendocrine tumors"
"210",3,0,221735001.004526,0.998203984940037,0,Inf,"Benign neoplasm of lip, oral cavity, and pharynx"
"211",20,10,2.08538955764007,0.0579036774954424,0.975676867781588,4.45726423442044,"Benign neoplasm of other parts of digestive system"
"212",2,3,0.665113426190321,0.655077586477485,0.111136767917015,3.98046369342815,"Benign neoplasm of respiratory and intrathoracic organs"
"213",3,1,3.35278287236672,0.295579124628215,0.347439612337538,32.3542641370289,"Benign neoplasm of bone and articular cartilage"
"214",3,1,3.03295521740687,0.336613314943426,0.315481336206181,29.1580397795189,"Lipoma"
"214.1",1,3,0.335366883723757,0.34407551196987,0.0348835829436139,3.2241798923116,"Lipoma of skin & subcutaneous tissue"
"215",3,2,1.52623582146635,0.643281287614477,0.254983494781281,9.13547672850426,"Other benign neoplasm of connective and other soft tissue"
"216",149,384,0.393366484144281,4.22359115080474e-22,0.325559980485954,0.475295491224263,"Benign neoplasm of skin"
"216.1",180,251,0.717438435555564,0.000674412380483345,0.592440527795621,0.868809415735956,"Screening for malignant neoplasms of the skin"
"217",0,0,NA,NA,NA,NA,"Vascular hamartomas and non-neoplastic nevi"
"217.1",4,6,0.683049598564632,0.554907385273432,0.192708412338964,2.42105027194482,"Nevus, non-neoplastic"
"218",0,0,NA,NA,NA,NA,"Benign neoplasm of uterus"
"218.1",61,66,0.946910246441267,0.758802767772023,0.668474294460818,1.34132160689691,"Uterine leiomyoma"
"218.2",0,0,NA,NA,NA,NA,"Benign neoplasm of uterus"
"220",4,0,219580731.877626,0.997927232767739,0,Inf,"Benign neoplasm of ovary"
"221",0,1,4.56325559326319e-09,0.998963710381609,0,Inf,"Benign female genital neoplasms"
"222",0,0,NA,NA,NA,NA,"Benign neoplasm of male genital organs"
"223",1,1,0.998611443295415,0.999216048572152,0.0624615235402801,15.9654257238452,"Benign neoplasm of urinary organs"
"224",1,2,0.50273125434348,0.574455701958084,0.0455854178878336,5.54428863009772,"Benign neoplasm of eye"
"224.1",25,52,0.489286100704096,0.00331641783044094,0.303655759715097,0.788395677285472,"Benign neoplasm of eye, uveal"
"225",65,17,3.83955321271174,7.86896645640527e-07,2.25112117248808,6.54881178917217,"Benign neoplasm of brain and other parts of nervous system"
"225.1",15,0,219271978.785013,0.995986180573807,0,Inf,"Benign neoplasm of brain, cranial nerves, meninges"
"225.2",0,0,NA,NA,NA,NA,"Benign neoplasm of spinal cord, meninges"
"226",5,4,1.24594939792677,0.743060257867037,0.33457664483377,4.63986332030246,"Benign neoplasm of thyroid glands"
"227",29,11,2.66907529591981,0.00556816854133275,1.33327286179405,5.34321453577284,"Benign neoplasm of other endocrine glands"
"227.1",1,1,1.03013710845798,0.983249473896306,0.0644327181828993,16.4696212134011,"Benign neoplasm of adrenal gland"
"227.2",0,0,NA,NA,NA,NA,"Benign neoplasm of parathyroid gland"
"227.3",4,3,1.33160167248016,0.707688960921949,0.298027733563566,5.94965774812287,"Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)"
"228",12,3,4.10431325388708,0.0287208904067112,1.1580731004652,14.5460483274037,"Hemangioma and lymphangioma, any site"
"228.1",13,26,0.509125108773963,0.0469577699717791,0.261572245041997,0.99096284601022,"Hemangioma of skin & subcutaneous tissue"
"229",0,2,4.54908289646393e-09,0.998534052797863,0,Inf,"Benign neoplasm of unspecified sites"
"229.1",0,0,NA,NA,NA,NA,"Benign neoplasm of lymph nodes"
"230",0,0,NA,NA,NA,NA,"Kaposi's sarcoma"
"240",26,28,0.934519409457549,0.803629273184855,0.547968818005382,1.5937522318,"Simple goiter"
"241",8,7,1.14601892057134,0.792288395021312,0.415570402425645,3.16037754046377,"Nontoxic nodular goiter"
"241.1",67,64,1.06470024956703,0.719870155054718,0.755834914806209,1.49978070504819,"Nontoxic uninodular goiter"
"241.2",88,83,1.07106200777373,0.653689902090244,0.793532534288305,1.4456544312013,"Nontoxic multinodular goiter"
"242",98,52,1.90579064267133,0.000170882940501021,1.36152597144313,2.66762298323541,"Thyrotoxicosis"
"242.1",37,24,1.54774106082516,0.0956110230574344,0.925969754487127,2.5870201264738,"Graves' disease"
"242.2",7,5,1.40299537307612,0.563077680154648,0.445282199821556,4.42055850797948,"Toxic multinodular goiter"
"242.3",2,2,1.00134772879454,0.998925397323092,0.141052048924215,7.10870406782045,"Exophthalmos"
"244",3481,1646,2.26412657290437,2.85173878017753e-164,2.13518083926963,2.40085947000404,"Hypothyroidism"
"244.1",82,67,1.23342740819513,0.202708153550893,0.893156411496545,1.70333342705096,"Iatrogenic hypothyroidism"
"244.2",147,98,1.52500406059834,0.00121677372847227,1.18094929515214,1.96929486675533,"Acquired hypothyroidism"
"244.3",6,2,3.04749870227445,0.172400445553971,0.614928022897098,15.1029844055726,"Iodine hypothyroidism"
"244.4",399,187,2.15157141106872,5.35582089917142e-18,1.80850258853253,2.55971960796836,"Hypothyroidism NOS"
"244.5",6,1,6.08047525413249,0.0947023165396214,0.731962080652693,50.5110582820758,"Congenital hypothyroidism"
"245",7,7,1.00734091607041,0.989082908452297,0.353325335840963,2.87195855563075,"Thyroiditis"
"245.1",1,1,1.00845604206785,0.995249420688216,0.0630724014938639,16.1240663855503,"Thyroiditis, acute and subacute"
"245.2",41,25,1.65692763276479,0.0466090578016601,1.00760937108128,2.72467610863267,"Chronic lymphocytic thyroiditis"
"245.21",12,8,1.4968014903782,0.376887282645075,0.611846776618474,3.66172510375982,"Chronic lymphocytic thyroiditis"
"246",60,26,2.3665928583708,0.000244492949357122,1.49352233879263,3.75003547775479,"Other disorders of thyroid"
"246.2",0,2,4.62868033670276e-09,0.998535613267721,0,Inf,"Thyroid cyst"
"246.7",12,11,1.10200334979279,0.816013424635714,0.486240470642504,2.49755307564143,"Abnormal thyroid function"
"249",25,8,3.1671537794859,0.00454844683168247,1.42831845417292,7.0228477645206,"Secondary diabetes mellitus"
"250",3,0,220134724.694112,0.998204537193863,0,Inf,"Diabetes mellitus"
"250.1",385,107,3.64753979528433,2.42070649950436e-32,2.94421145505272,4.51888281847087,"Type 1 diabetes"
"250.11",110,31,3.57469077425692,3.74461423140705e-10,2.39962077338974,5.32518065906997,"Type 1 diabetic ketoacidosis"
"250.12",30,2,15.0483008767814,0.000205192153711981,3.59629339173135,62.967988039797,"Type 1 diabetes nephropathy"
"250.13",19,7,2.72880780860344,0.0231856261063918,1.14711008645181,6.49143630087672,"Type 1 diabetic retinopathy"
"250.14",61,13,4.7242049545174,3.72175391006453e-07,2.59594722389129,8.59729051765243,"Type 1 diabetic neuropathy"
"250.15",33,10,3.30978902121583,0.000914418917250206,1.63128558168845,6.71538048759203,"Type 1 diabetic peripheral circulatory disorders"
"250.2",4647,2041,2.48027926911625,2.33391736238012e-256,2.35446845618738,2.61281277166462,"Type 2 diabetes"
"250.21",1045,286,3.73915529147367,6.40142886444315e-87,3.2806884030043,4.261691625743,"Type 2 diabetic ketoacidosis"
"250.22",309,98,3.21645027019868,7.13655747199728e-24,2.56254600332722,4.0372162401098,"Type 2 diabetic nephropathy"
"250.23",183,85,2.18013525883139,2.89832409840762e-09,1.68556587522998,2.81981844592774,"Type 2 diabetic retinopathy"
"250.24",591,206,2.92749813603998,3.30254630090722e-40,2.49811971373548,3.43067839759463,"Type 2 diabetic neuropathy"
"250.25",246,104,2.39624000368446,7.98620153605248e-14,1.90527288574933,3.01372375485176,"Type 2 diabetic peripheral circulatory disorders"
"250.3",191,39,4.97352753470719,6.9645780022273e-20,3.52435832590443,7.01857582320118,"Insulin pump user"
"250.4",0,0,NA,NA,NA,NA,"Abnormal glucose"
"250.41",95,127,0.758389826395313,0.0414998348156489,0.581316127108102,0.989401638728246,"Impaired fasting glucose"
"250.42",181,114,1.61873037815087,5.65292765970314e-05,1.2804548410355,2.04637286156023,"Other abnormal glucose"
"250.5",2,0,217655967.387794,0.99853498939635,0,Inf,"Glycosuria or Acetonuria"
"250.6",197,30,6.64889020650981,4.20884006801439e-22,4.5281373694629,9.76289749431026,"Polyneuropathy in diabetes"
"250.7",218,101,2.18923402095257,7.57410861335381e-11,1.72910755360225,2.77180305442043,"Diabetic retinopathy"
"251",1,0,218944526.781171,0.998963664837013,0,Inf,"Other disorders of pancreatic internal secretion"
"251.1",117,12,9.95807168818703,3.41248535412601e-14,5.49707941864321,18.0392503355077,"Hypoglycemia"
"251.8",4,0,217851994.312936,0.997927887892357,0,Inf,"Other specified disorders of pancreatic internal secretion"
"252",1,0,217886467.328753,0.9989639113876,0,Inf,"Disorders of parathyroid gland"
