Phecode,Number of Patients with Schizoaffective Disorder,Number of Patients with Other Schizophrenia,Hazard Ratio,P-Value,CI Lower Bound,CI Upper Bound,PheWAS Description
70.2,1,0,218559375.03668,0.998963800242079,0,Inf,Viral hepatitis B
70.3,19,15,1.31050322491927,0.434050871303404,0.665582974288566,2.58032246747228,Viral hepatitis C
70.4,0,0,NA,NA,NA,NA,Chronic hepatitis
70.9,0,0,NA,NA,NA,NA,Hepatitis NOS
71,1,5,0.217388700235826,0.163821717582113,0.0253674129312858,1.8629352200097,Human immunodeficiency virus
71.1,9,15,0.606509602635796,0.235693650842956,0.265401975233072,1.38602547236654,"HIV infection, symptomatic"
78,2,12,0.18236077603269,0.0260264614870345,0.0407509373095357,0.816065956536002,Viral warts & HPV
79,0,5,1.72246934699175E-09,0.998523518920246,0,Inf,Viral infection
79.1,0,0,NA,NA,NA,NA,Varicella infection
79.2,0,0,NA,NA,NA,NA,Infectious mononucleosis
79.9,1,0,648835755.028589,0.99933689544368,0,Inf,"Viremia, NOS"
80,4,4,1.01374965538604,0.984592975089042,0.253510227152856,4.05383394325809,Postoperative infection
81,1,4,0.249884048075908,0.214844383377139,0.0279296989294879,2.23568602155167,"Infection/inflammation of internal prosthetic device, implant or graft"
81.1,0,0,NA,NA,NA,NA,Graft-versus-host disease
81.11,0,0,NA,NA,NA,NA,Acute graft-versus-host disease
81.12,0,0,NA,NA,NA,NA,Chronic graft-versus-host disease
90,1,3,0.335917456115702,0.344800186830737,0.0349408958847338,3.2294689207596,Sexually transmitted infections
90.2,0,0,NA,NA,NA,NA,Gonococcal infections
90.3,0,0,NA,NA,NA,NA,Venereal diseases due to Chlamydia trachomatis
1000,1,4,0.253733405550048,0.219975966038079,0.028355433856804,2.27048689916543,Burns
1001,1,3,0.347690480727293,0.360486334046009,0.0361249762820034,3.34640137739274,Foreign body injury
1002,12,21,0.693924578081062,0.320807669204756,0.337313932024608,1.42754649111218,"Symptoms concerning nutrition, metabolism, and development"
1003,0,0,NA,NA,NA,NA,Sudden death
1004,3,2,1.50928125047459,0.652048450393955,0.2521893219743,9.03261833292963,Symptoms involving emotional state
1005,11,13,0.902041535763425,0.801782400140125,0.403333802047952,2.01738343801321,Other symptoms
1006,0,0,NA,NA,NA,NA,Crushing injury
1007,0,0,NA,NA,NA,NA,Injury to blood vessels
1008,0,1,4.57238396125316E-09,0.998963764328493,0,Inf,Internal injury to organs
1009,35,62,0.665427551527054,0.0562131236989064,0.4380412941271,1.01084950726771,"Injury, NOS"
1010,479,327,1.95909599188934,2.87661693408401E-20,1.69822236957381,2.26004389896247,Other tests
1010.1,0,0,NA,NA,NA,NA,nan
1011,9,1,10.1275299082704,0.0288039220566009,1.27068116959754,80.7180152637328,Complications of medical procedures NOS
1012,0,0,NA,NA,NA,NA,Late effect
1013,7,22,0.34938838409261,0.0157073673238942,0.148855892899029,0.820069938525369,Asphyxia and hypoxemia
1014,0,0,NA,NA,NA,NA,"Effects of heat, cold & air pressure"
1015,39,14,3.0509505953967,0.000352656579812743,1.65467690911427,5.62544837864095,Effects of other external causes
1019,57,240,0.24165752532221,6.09734369323711E-22,0.180982832801086,0.322673474831941,Other causes of morbidity & mortality
110,0,0,NA,NA,NA,NA,Dermatophytosis / Dermatomycosis
110.1,0,0,NA,NA,NA,NA,Dermatophytosis
110.11,51,34,1.66802675241115,0.022607467690794,1.07445989423135,2.58949939564725,Dermatophytosis of nail
110.12,2,0,223425587.774515,0.998533099418841,0,Inf,Althete's foot
110.13,0,0,NA,NA,NA,NA,Dermatophytosis of the body
110.2,0,0,NA,NA,NA,NA,Dermatomycoses
1100,0,0,NA,NA,NA,NA,x
112,1,6,0.188998558227143,0.123438117518201,0.022693646055883,1.57402891205658,Candidiasis
112.3,0,0,NA,NA,NA,NA,Candidiasis of skin and nails
117,0,0,NA,NA,NA,NA,Mycoses
117.1,0,0,NA,NA,NA,NA,Histoplasmosis
117.2,0,0,NA,NA,NA,NA,Coccidioidomycosis
117.3,0,0,NA,NA,NA,NA,Blastomycotic infection
117.4,1,1,1.00337155373249,0.99810100847352,0.0627594765788436,16.0414734111873,Aspergillosis
130,0,0,NA,NA,NA,NA,Spirochetal infection
130.1,0,2,4.56703406844172E-09,0.99853446052845,0,Inf,Lyme disease
131,0,0,NA,NA,NA,NA,Protozoan infection
132,0,0,NA,NA,NA,NA,Infestation
132.1,0,0,NA,NA,NA,NA,Pediculosis & phthirus infestation
133,0,0,NA,NA,NA,NA,Arthropod-borne diseases
134,0,0,NA,NA,NA,NA,Helminthiases
134.1,0,0,NA,NA,NA,NA,Intestinal helminthiases
136,1,1,1.08753949381944,0.95271455669491,0.0678953651482821,17.420072018671,Other infectious diseases
145,2,0,219372021.201406,0.998534309421656,0,Inf,Cancer of mouth
145.1,0,0,NA,NA,NA,NA,Cancer of lip
145.2,0,1,4.57392213387222E-09,0.998963794406927,0,Inf,Cancer of tongue
145.3,1,0,218701899.101225,0.998963759525107,0,Inf,Cancer of major salivary glands
145.4,0,0,NA,NA,NA,NA,Cancer of the gums
145.5,0,0,NA,NA,NA,NA,Cancer of the mouth floor
149,0,0,NA,NA,NA,NA,Cancer of the upper aerodigestive tract
149.1,0,2,4.57243586444156E-09,0.998534527197916,0,Inf,Cancer of oropharynx
149.2,0,0,NA,NA,NA,NA,Cancer of nasopharynx
149.3,0,0,NA,NA,NA,NA,Cancer of hypopharynx
149.4,0,1,4.57392213747814E-09,0.998963794382069,0,Inf,Cancer of larynx
149.5,0,0,NA,NA,NA,NA,Hx of malignant neoplasm of oral cavity and pharynx
149.9,0,0,NA,NA,NA,NA,Cancer of of nasal cavities
150,0,2,5.36997823294963E-09,0.998562460913135,0,Inf,Esophageal cancer
151,0,0,NA,NA,NA,NA,Stomach cancer
153,0,0,NA,NA,NA,NA,Colorectal cancer
153.2,6,7,0.874517533825421,0.809576159118352,0.293859717783101,2.60253743771912,Colon cancer
153.3,1,2,0.506536630457022,0.578672606068922,0.0459265516608069,5.58673248298142,Cancer of the lower GI tract
155,0,0,NA,NA,NA,NA,Hepatic cancer
155.1,0,1,4.57392213798797E-09,0.998963794393116,0,Inf,"Hepatic cancer, primary"
157,0,2,4.57317918208546E-09,0.998534539948986,0,Inf,Pancreatic cancer
158,0,3,4.57241697678055E-09,0.998205168123462,0,Inf,Neoplasm of unspecified nature of digestive system
159,0,1,6.05629750355332E-09,0.998997609364832,0,Inf,Cancer of the digestive organs and peritoneum
159.2,0,0,NA,NA,NA,NA,Malignant neoplasm of small intestine
159.3,0,0,NA,NA,NA,NA,Malignant neoplasm of gallbladder & extrahepatic bile ducts
159.4,0,0,NA,NA,NA,NA,Malignant neoplasm of retroperitoneum and peritoneum
164,0,1,4.57392213848171E-09,0.998963794413377,0,Inf,Cancer of intrathoracic organs
165,0,0,NA,NA,NA,NA,Cancer within the respiratory system
165.1,1,11,0.0907777856610072,0.0216077208690345,0.0117200250226799,0.703121909174175,Lung cancer
170,0,0,NA,NA,NA,NA,Cancer of bone & connective tissue
170.1,0,0,NA,NA,NA,NA,Bone cancer
170.2,0,0,NA,NA,NA,NA,Cancer of connective tissue
172,0,0,NA,NA,NA,NA,Skin cancer
172.1,1,2,0.510624343536233,0.583179330500017,0.0462940017512641,5.63220310079781,Melanoma
172.11,1,3,0.346146285836828,0.358396128302585,0.0359764082733641,3.33043950046955,Melanomas of skin
172.2,1,6,0.196572689242837,0.132500778619199,0.0236078866423521,1.63677599530829,Non-melanoma skin cancer
172.21,2,1,2.05035139226251,0.557739715967303,0.18587964169849,22.6164672652635,Basal cell carcinoma (new)
172.22,1,2,0.519884854878183,0.593396747708864,0.0471012825092537,5.7382781939878,Squamous cell carcinoma
172.3,0,1,4.57543597538237E-09,0.998963788175501,0,Inf,Carcinoma in situ of skin
173,4,7,0.747220967670405,0.646518554378107,0.215080246147203,2.59595748344161,Skin neoplasm of uncertain behavior
174,0,0,NA,NA,NA,NA,Breast cancer
174.1,1,1,1.02685816458786,0.98504894757885,0.0642139156451169,16.4207038238904,"Breast cancer, including in situ"
174.11,16,30,0.553353055251441,0.0562092609357578,0.301439563099655,1.01579102824959,Breast cancer
174.2,0,0,NA,NA,NA,NA,Breast cancer [male]
174.3,0,0,NA,NA,NA,NA,Neoplasm of uncertain behavior of breast
175,6,4,1.66423250300568,0.431541603447273,0.467720647980553,5.92163257281663,Acquired absence of breast
180,0,0,NA,NA,NA,NA,Cervical cancer and dysplasia
180.1,0,0,NA,NA,NA,NA,Cervical cancer
180.3,0,1,4.87592964303763E-09,0.998968115908774,0,Inf,Cervical intraepithelial neoplasia (Cervical dysplasia)
182,1,3,0.345825445383279,0.357965219567578,0.0359449138328811,3.32718112027138,Uterine cancer
184,0,0,NA,NA,NA,NA,Cancer of other female genital organs
184.1,0,0,NA,NA,NA,NA,Ovarian cancer
184.11,0,5,4.79424360841411E-09,0.997692565960533,0,Inf,Malignant neoplasm of ovary
184.2,0,1,4.57392213509394E-09,0.9989637944088,0,Inf,Cancer of other female genital organs
185,8,7,1.17199773098009,0.759168366764657,0.424882046083994,3.23284707857702,Prostate cancer
187,0,0,NA,NA,NA,NA,Cancer of other male genital organs
187.1,0,0,NA,NA,NA,NA,Malignant neoplasm of male genital organ
187.2,0,0,NA,NA,NA,NA,Malignant neoplasm of testis
187.8,0,0,NA,NA,NA,NA,Neoplasm of uncertain behavior of male genital organs
189,0,0,NA,NA,NA,NA,Cancer of kidney and urinary organs
189.1,0,0,NA,NA,NA,NA,Cancer of kidney and renal pelvis
189.11,1,1,1.02553262439366,0.985776564678287,0.0641430999741984,16.3964193205317,Renal cell carcinoma
189.12,0,0,NA,NA,NA,NA,Malignant neoplasm of renal pelvis
189.2,1,0,229349939.9178,0.998961668535102,0,Inf,Bladder cancer and neoplasms
189.21,4,4,1.02585618645795,0.971211547178938,0.256439859326087,4.10381177894753,Bladder cancer
189.4,0,0,NA,NA,NA,NA,Malignant neoplasm of kidney and other urinary organs
190,0,1,4.72049062496265E-09,0.998965688490244,0,Inf,Cancer of eye
191,1,8,0.141092057450643,0.0653982898189968,0.0175709974839467,1.13294471152495,Malignant neoplasm of brain and nervous system
191.1,0,1,4.93939093327064E-09,0.998969203501398,0,Inf,Cancer of brain and nervous system
191.11,1,15,0.0678726378676879,0.00920002675562644,0.00896438278583509,0.513888694980484,Brain cancer
193,3,6,0.507538133917934,0.3375567022625,0.126917193584129,2.02963010847027,Thyroid cancer
194,0,2,4.57317918576823E-09,0.998534539997912,0,Inf,Cancer of other endocrine glands
195,1,5,0.204156478700319,0.14696408882324,0.0238483693650946,1.74770304657886,"Cancer, suspected or other"
195.1,0,5,5.2354431694367E-09,0.997721642895582,0,Inf,"Malignant neoplasm, other"
195.3,0,0,NA,NA,NA,NA,"Malignant neoplasm of head, face, and neck"
196,0,2,4.73071734474703E-09,0.998537628540788,0,Inf,Radiotherapy
197,4,16,0.255023864567691,0.0145403082375773,0.085234771804368,0.763035673378869,Chemotherapy
198,0,4,4.60575425778168E-09,0.997928342041143,0,Inf,Secondary malignant neoplasm
198.1,2,4,0.500061037077348,0.423574116562814,0.0915925936371268,2.73014477342534,Secondary malignancy of lymph nodes
198.2,0,5,4.57364876423986E-09,0.997682939396738,0,Inf,Secondary malignancy of lung
198.3,0,3,4.87364506718914E-09,0.998214557494011,0,Inf,Secondary malignant neoplasm of digestive systems
198.4,0,5,4.74908679178324E-09,0.997689833041545,0,Inf,Secondary malignant neoplasm of liver
198.5,1,11,0.0908671132950889,0.0216615009930323,0.011731552813168,0.703814099469822,Secondary malignancy of brain/spine
198.6,0,13,4.61538322729521E-09,0.996266239952736,0,Inf,Secondary malignancy of bone
198.7,0,0,NA,NA,NA,NA,Secondary malignant neoplasm of skin
199,1,3,0.44610080872745,0.486307208933558,0.0459724526655171,4.32880823207753,Neoplasm of uncertain behavior
199.4,1,0,218199012.161034,0.998963894738295,0,Inf,Neurofibromatosis
200,4,2,1.99977553398708,0.423567260206101,0.366284921336089,10.9180093238506,Myeloproliferative disease
200.1,1,2,0.502796686908735,0.574527793205955,0.0455914456933495,5.54499872776084,Polycythemia vera
201,1,1,1.01155833251283,0.993516498650274,0.0632685630585083,16.1731231216659,Hodgkin's disease
202,2,1,2.1362870561663,0.535622444316148,0.193462751713112,23.5896695665287,"Cancer of other lymphoid, histiocytic tissue"
202.2,2,8,0.254676219456226,0.0836359985490374,0.0540759369086257,1.19942400380621,Non-Hodgkins lymphoma
202.21,0,3,4.59405705774281E-09,0.998205658773659,0,Inf,Nodular lymphoma
202.22,0,0,NA,NA,NA,NA,Reticulosarcoma
202.23,0,1,4.57392214163453E-09,0.99896379441391,0,Inf,Lymphosarcoma
202.24,0,1,4.57392213984011E-09,0.99896379442123,0,Inf,Large cell lymphoma
204,0,3,4.57142957761278E-09,0.998205149885996,0,Inf,Leukemia
204.1,1,1,1.00647086984575,0.996360991758076,0.0629528479992755,16.0911482806896,Lymphoid leukemia
204.11,1,1,1,1,0.0625488361661124,15.9875077026897,"Lymphoid leukemia, acute"
204.12,2,2,0.999422513570799,0.999539099482639,0.140782112809808,7.09497350690839,Chronic lymphoid leukemia
204.2,1,0,220491168.541964,0.998963338092828,0,Inf,Myeloid leukemia
204.21,0,1,4.57392213281676E-09,0.998963794394985,0,Inf,"Myeloid leukemia, acute"
204.22,0,0,NA,NA,NA,NA,"Myeloid leukemia, chronic"
204.3,0,0,NA,NA,NA,NA,Monocytic leukemia
204.4,2,3,0.676267304929525,0.668299496987941,0.112991854171057,4.0475260015141,Multiple myeloma
208,10,12,1.28336720961989,0.57999907459625,0.530392366961778,3.10530749935591,Benign neoplasm of colon
209,0,0,NA,NA,NA,NA,Neuroendocrine tumors
210,0,0,NA,NA,NA,NA,"Benign neoplasm of lip, oral cavity, and pharynx"
211,2,4,0.518748535838051,0.448704570631524,0.0949527569553168,2.83404139134955,Benign neoplasm of other parts of digestive system
212,0,0,NA,NA,NA,NA,Benign neoplasm of respiratory and intrathoracic organs
213,0,0,NA,NA,NA,NA,Benign neoplasm of bone and articular cartilage
214,0,0,NA,NA,NA,NA,Lipoma
214.1,1,0,719966161.806277,0.999337034585654,0,Inf,Lipoma of skin & subcutaneous tissue
215,0,1,4.57241586901649E-09,0.99896375266956,0,Inf,Other benign neoplasm of connective and other soft tissue
216,13,15,1.361503248506,0.441939797745755,0.620023423837508,2.98971139544912,Benign neoplasm of skin
216.1,90,7,15.7633421221579,2.72197117714816E-12,7.27611317453885,34.1505071319822,Screening for malignant neoplasms of the skin
217,0,0,NA,NA,NA,NA,Vascular hamartomas and non-neoplastic nevi
217.1,0,0,NA,NA,NA,NA,"Nevus, non-neoplastic"
218,0,0,NA,NA,NA,NA,Benign neoplasm of uterus
218.1,7,3,2.50954048617837,0.182938522008236,0.647900485150307,9.72030982552408,Uterine leiomyoma
218.2,0,0,NA,NA,NA,NA,Benign neoplasm of uterus
220,1,0,218559352.091261,0.998963800276268,0,Inf,Benign neoplasm of ovary
221,0,0,NA,NA,NA,NA,Benign female genital neoplasms
222,0,0,NA,NA,NA,NA,Benign neoplasm of male genital organs
223,0,0,NA,NA,NA,NA,Benign neoplasm of urinary organs
224,0,0,NA,NA,NA,NA,Benign neoplasm of eye
224.1,0,1,5.97226895858841E-09,0.99899492196806,0,Inf,"Benign neoplasm of eye, uveal"
225,0,4,4.61821579922218E-09,0.997928709672606,0,Inf,Benign neoplasm of brain and other parts of nervous system
225.1,4,0,227340191.401539,0.997924069422871,0,Inf,"Benign neoplasm of brain, cranial nerves, meninges"
225.2,0,0,NA,NA,NA,NA,"Benign neoplasm of spinal cord, meninges"
226,0,0,NA,NA,NA,NA,Benign neoplasm of thyroid glands
227,0,4,5.83423748335551E-09,0.997997148789697,0,Inf,Benign neoplasm of other endocrine glands
227.1,0,0,NA,NA,NA,NA,Benign neoplasm of adrenal gland
227.2,0,0,NA,NA,NA,NA,Benign neoplasm of parathyroid gland
227.3,2,1,2.01489944370269,0.567318080561958,0.182699127648843,22.2213418338625,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)
228,1,0,658848802.110846,0.999336756038148,0,Inf,"Hemangioma and lymphangioma, any site"
228.1,0,1,4.60769012265196E-09,0.99896419031493,0,Inf,Hemangioma of skin & subcutaneous tissue
229,0,0,NA,NA,NA,NA,Benign neoplasm of unspecified sites
229.1,0,0,NA,NA,NA,NA,Benign neoplasm of lymph nodes
230,0,0,NA,NA,NA,NA,Kaposi's sarcoma
240,0,1,4.57392213726778E-09,0.998963794281107,0,Inf,Simple goiter
241,1,1,1.03318152207635,0.98158715744904,0.0646018758241792,16.5237316090515,Nontoxic nodular goiter
241.1,3,4,0.793599291082616,0.762223159866689,0.177513178439575,3.54790467019447,Nontoxic uninodular goiter
241.2,8,3,2.86473342565058,0.120211884763282,0.759537946598033,10.8048552897159,Nontoxic multinodular goiter
242,2,7,0.291577837606429,0.124280366080821,0.0605674581144176,1.40368504853934,Thyrotoxicosis
242.1,0,2,4.63687075106398E-09,0.99853570338261,0,Inf,Graves' disease
242.2,0,0,NA,NA,NA,NA,Toxic multinodular goiter
242.3,0,0,NA,NA,NA,NA,Exophthalmos
244,0,122,1.69041028294651E-09,0.992700866833789,0,Inf,Hypothyroidism
244.1,7,5,1.53277348578562,0.468238634330713,0.48338988545863,4.8602476580542,Iatrogenic hypothyroidism
244.2,10,7,1.51644836077752,0.39862697916563,0.576688992045402,3.98761839158495,Acquired hypothyroidism
244.3,0,1,4.61430994969059E-09,0.998964284164858,0,Inf,Iodine hypothyroidism
244.4,184,17,11.5295226167325,5.30506670532796E-22,7.01418293504253,18.951586093604,Hypothyroidism NOS
244.5,2,0,220147119.081279,0.998534056964318,0,Inf,Congenital hypothyroidism
245,0,1,4.87866987547163E-09,0.998968147137525,0,Inf,Thyroiditis
245.1,0,0,NA,NA,NA,NA,"Thyroiditis, acute and subacute"
245.2,0,5,5.34656429772681E-09,0.99772277852736,0,Inf,Chronic lymphocytic thyroiditis
245.21,5,2,2.57690676712189,0.257944091418794,0.499864396005234,13.2844998353695,Chronic lymphocytic thyroiditis
246,7,2,3.57198387827689,0.11235892572317,0.741910852137333,17.197576757252,Other disorders of thyroid
246.2,0,0,NA,NA,NA,NA,Thyroid cyst
246.7,1,0,627822500.789895,0.999337363324473,0,Inf,Abnormal thyroid function
249,5,4,1.30746209944029,0.689751417211081,0.350576544395028,4.87613095856925,Secondary diabetes mellitus
250,0,0,NA,NA,NA,NA,Diabetes mellitus
250.1,11,27,0.415328529655894,0.0140391045466166,0.206010321493697,0.837325947046805,Type 1 diabetes
250.11,2,12,0.173443832773964,0.0218368044729612,0.0388041081491353,0.775246863339986,Type 1 diabetic ketoacidosis
250.12,0,2,4.65387865001721E-09,0.998535996710234,0,Inf,Type 1 diabetes nephropathy
250.13,0,3,5.53946908326237E-09,0.998244150623999,0,Inf,Type 1 diabetic retinopathy
250.14,2,2,1.01562678020619,0.987629113527043,0.143051876071894,7.21065521820623,Type 1 diabetic neuropathy
250.15,0,0,NA,NA,NA,NA,Type 1 diabetic peripheral circulatory disorders
250.2,254,208,1.26528240795569,0.0119970234743307,1.05308646809153,1.52023563153696,Type 2 diabetes
250.21,2,59,0.0353902240993843,3.39746485659808E-06,0.00864189718307268,0.144929745780581,Type 2 diabetic ketoacidosis
250.22,19,16,1.38514283762234,0.348527869581207,0.700915726716048,2.73730579509984,Type 2 diabetic nephropathy
250.23,10,11,0.985106410496174,0.972665091785575,0.417568802932894,2.3240113561755,Type 2 diabetic retinopathy
250.24,33,24,1.4703296883139,0.151297395416792,0.868458666157748,2.48931754219443,Type 2 diabetic neuropathy
250.25,9,9,1.27131061257328,0.622873348220964,0.488386669929513,3.30932593609634,Type 2 diabetic peripheral circulatory disorders
250.3,23,20,1.28067082403815,0.422123114106682,0.70003533543238,2.34290710272438,Insulin pump user
250.4,0,0,NA,NA,NA,NA,Abnormal glucose
250.41,13,7,2.02605465854087,0.132379740467776,0.807683850215874,5.08230723976716,Impaired fasting glucose
250.42,20,16,1.38676650574541,0.332585587089197,0.715737735759287,2.68690785098427,Other abnormal glucose
250.5,0,0,NA,NA,NA,NA,Glycosuria or Acetonuria
250.6,2,11,0.196882809835891,0.0349943339363153,0.0434622676767382,0.891873408382284,Polyneuropathy in diabetes
250.7,13,16,0.880964454202094,0.734821222622497,0.423122171074712,1.83421815877985,Diabetic retinopathy
251,0,0,NA,NA,NA,NA,Other disorders of pancreatic internal secretion
251.1,7,4,1.93665618874008,0.294107570360306,0.563376284221702,6.65742825608414,Hypoglycemia
251.8,0,0,NA,NA,NA,NA,Other specified disorders of pancreatic internal secretion
252,0,0,NA,NA,NA,NA,Disorders of parathyroid gland
252.1,5,5,1.38849414460605,0.625859092280254,0.371132484073931,5.19468403423627,Hyperparathyroidism
252.2,0,0,NA,NA,NA,NA,Hypoparathyroidism
253,0,1,4.79725022107161E-09,0.998966849053246,0,Inf,Disorders of the pituitary gland and its hypothalamic control
253.1,2,2,1.14966428043804,0.889506806958904,0.160712899890114,8.22415598635109,Pituitary hyperfunction
253.11,0,0,NA,NA,NA,NA,Acromegaly and gigantism
253.2,1,4,0.28930221841123,0.268369838489561,0.0321746496285908,2.60129557101023,Pituitary hypofunction
253.3,3,4,0.778447547860839,0.743039493438822,0.1741546954833,3.47955352618479,Posterior pituitary disorders
253.4,0,1,5.99521576745251E-09,0.998995645459165,0,Inf,Anterior pituitary disorders
253.7,1,0,218630744.345619,0.998963788375027,0,Inf,Other disorders of neurohypophysis
254,0,0,NA,NA,NA,NA,Diseases of thymus gland
255,0,0,NA,NA,NA,NA,Disorders of adrenal glands
255.1,0,0,NA,NA,NA,NA,Adrenal hyperfunction
255.11,0,1,4.5739221374647E-09,0.998963794386564,0,Inf,Cushing's syndrome
255.12,0,1,4.57541375497574E-09,0.998963799739974,0,Inf,Hyperaldosteronism
255.13,0,0,NA,NA,NA,NA,Medulloadrenal hyperfunction
255.2,0,4,4.9560771473766E-09,0.997944820767769,0,Inf,Adrenal hypofunction
255.21,0,0,NA,NA,NA,NA,Glucocorticoid deficiency
255.3,0,0,NA,NA,NA,NA,Adrenogenital disorders
255.9,0,2,4.92280679135125E-09,0.998542840033581,0,Inf,Other disorders of adrenal glands
256,1,2,0.566628722239693,0.643408713315574,0.0511477634602323,6.27726584988647,Ovarian dysfunction
256.1,0,0,NA,NA,NA,NA,Hyperestrogenism
256.4,12,8,1.59737125784569,0.305219607531141,0.652494356058367,3.91052414737406,Polycystic ovaries
257,0,0,NA,NA,NA,NA,Testicular dysfunction
257.1,8,6,1.4429057572315,0.498458476698161,0.499086884444521,4.1715723036261,Testicular hypofunction
258,0,0,NA,NA,NA,NA,Iatrogenic endocrine disorders
258.1,0,0,NA,NA,NA,NA,Postablative ovarian failure
259,1,4,0.280051237148349,0.256017353437972,0.0311474946934804,2.51797764796592,Other endocrine disorders
259.1,1,1,1.00033849151466,0.999809058995488,0.0625699482758793,15.9929347103454,Nonspecific abnormal results of other endocrine function study
259.2,0,0,NA,NA,NA,NA,Carcinoid syndrome
259.3,0,0,NA,NA,NA,NA,Delay in sexual development and puberty NEC
259.4,0,0,NA,NA,NA,NA,Precocious sexual development and puberty NEC
259.8,0,0,NA,NA,NA,NA,Polyglandular dysfunction and related disorders
260,14,7,2.08625826483893,0.112507750863855,0.841298381190457,5.17351946101439,Protein-calorie malnutrition
260.1,3,1,3.30260280233678,0.301703980678287,0.342136736313638,31.8796086837169,Cachexia
260.2,4,6,0.667864809555397,0.531734715490836,0.188468423322462,2.36667445919735,severe protein-calorie malnutrition
260.21,0,0,NA,NA,NA,NA,Kwashiorkor
260.22,0,0,NA,NA,NA,NA,Nutritional marasmus
260.3,7,1,7.0216941368282,0.0682849248243075,0.863906535984792,57.0712067769742,Adult failure to thrive
260.5,0,4,5.14279853499716E-09,0.997948203166986,0,Inf,Abnormal loss of weight and underweight
260.6,2,6,0.386270806147112,0.250347801792607,0.076299506443353,1.95551901495345,Anorexia
260.7,0,2,4.77405265850115E-09,0.998538697992735,0,Inf,Polyphagia
261,1,0,218482560.410856,0.998963819639793,0,Inf,Vitamin deficiency
261.1,0,0,NA,NA,NA,NA,Vitamin A deficiency
261.2,15,7,2.34331117620868,0.0638754591631425,0.952054511440743,5.76763956533835,Vitamin B-complex deficiencies
261.3,0,0,NA,NA,NA,NA,Vitamin C deficiencies
261.4,61,33,2.03166046916173,0.00108503870426666,1.32797732017208,3.10821894263946,Vitamin D deficiency
261.41,0,0,NA,NA,NA,NA,Rickets or osteomalacia
262,3,0,225963417.793229,0.99820277429121,0,Inf,Mineral deficiency NEC
263,2,0,219672777.5291,0.998534213063767,0,Inf,Other nutritional deficiency
264,0,0,NA,NA,NA,NA,Lack of normal physiological development
264.1,0,0,NA,NA,NA,NA,Short stature
264.2,0,7,4.56974175686792E-09,0.997258315631323,0,Inf,Failure to thrive
264.3,0,0,NA,NA,NA,NA,Delayed milestones
264.9,0,0,NA,NA,NA,NA,"Lack of normal physiological development, unspecified"
269,7,2,3.56843572684844,0.112623634125639,0.741225604121784,17.1792952993515,Proteinuria
270,0,0,NA,NA,NA,NA,Protein plasma/amino-acid transport and metabolism disorder
270.1,0,0,NA,NA,NA,NA,Disturbances of amino-acid transport
270.11,0,1,4.573922134542E-09,0.998963794374256,0,Inf,Disturbances of sulphur-bearing amino-acid metabolism
270.12,0,0,NA,NA,NA,NA,Phenylketonuria [PKU]
