Phecode,Number of Schizophrenia Patients,Number of Non-Schizophrenic Participants,Hazard Ratio,P-Value,CI Lower Bound,CI Upper Bound,PheWAS Description
131,0,0,NA,NA,NA,NA,Protozoan infection
132,1,0,211916276.446519,0.998965668421177,0,Inf,Infestation
132.1,1,0,212120680.024041,0.998965614442121,0,Inf,Pediculosis & phthirus infestation
133,2,0,212915232.032236,0.998536771201575,0,Inf,Arthropod-borne diseases
134,0,0,NA,NA,NA,NA,Helminthiases
134.1,0,0,NA,NA,NA,NA,Intestinal helminthiases
136,5,0,213291201.69079,0.997686228480528,0,Inf,Other infectious diseases
145,0,0,NA,NA,NA,NA,Cancer of mouth
145.1,0,0,NA,NA,NA,NA,Cancer of lip
145.2,0,0,NA,NA,NA,NA,Cancer of tongue
145.3,0,0,NA,NA,NA,NA,Cancer of major salivary glands
145.4,0,0,NA,NA,NA,NA,Cancer of the gums
145.5,0,0,NA,NA,NA,NA,Cancer of the mouth floor
149,0,0,NA,NA,NA,NA,Cancer of the upper aerodigestive tract
149.1,0,0,NA,NA,NA,NA,Cancer of oropharynx
149.2,0,0,NA,NA,NA,NA,Cancer of nasopharynx
149.3,0,0,NA,NA,NA,NA,Cancer of hypopharynx
149.4,0,0,NA,NA,NA,NA,Cancer of larynx
149.5,0,0,NA,NA,NA,NA,Hx of malignant neoplasm of oral cavity and pharynx
149.9,0,0,NA,NA,NA,NA,Cancer of of nasal cavities
150,0,0,NA,NA,NA,NA,Esophageal cancer
151,0,0,NA,NA,NA,NA,Stomach cancer
153,0,0,NA,NA,NA,NA,Colorectal cancer
153.2,0,0,NA,NA,NA,NA,Colon cancer
153.3,0,0,NA,NA,NA,NA,Cancer of the lower GI tract
155,0,0,NA,NA,NA,NA,Hepatic cancer
155.1,0,0,NA,NA,NA,NA,"Hepatic cancer, primary"
157,0,0,NA,NA,NA,NA,Pancreatic cancer
158,1,0,218630743.872609,0.998963798040836,0,Inf,Neoplasm of unspecified nature of digestive system
159,0,0,NA,NA,NA,NA,Cancer of the digestive organs and peritoneum
159.2,0,0,NA,NA,NA,NA,Malignant neoplasm of small intestine
159.3,0,0,NA,NA,NA,NA,Malignant neoplasm of gallbladder & extrahepatic bile ducts
159.4,0,0,NA,NA,NA,NA,Malignant neoplasm of retroperitoneum and peritoneum
164,0,0,NA,NA,NA,NA,Cancer of intrathoracic organs
165,0,0,NA,NA,NA,NA,Cancer within the respiratory system
165.1,0,0,NA,NA,NA,NA,Lung cancer
170,0,0,NA,NA,NA,NA,Cancer of bone & connective tissue
170.1,1,2,0.489336083057619,0.559525479307729,0.0443698193447893,5.39668192744836,Bone cancer
170.2,0,3,4.47773158726774E-09,0.998203424220567,0,Inf,Cancer of connective tissue
172,0,0,NA,NA,NA,NA,Skin cancer
172.1,0,1,4.40989665374578E-09,0.998962059098121,0,Inf,Melanoma
172.11,1,0,216559397.610959,0.998964332577859,0,Inf,Melanomas of skin
172.2,0,0,NA,NA,NA,NA,Non-melanoma skin cancer
172.21,0,0,NA,NA,NA,NA,Basal cell carcinoma (new)
172.22,0,0,NA,NA,NA,NA,Squamous cell carcinoma
172.3,0,0,NA,NA,NA,NA,Carcinoma in situ of skin
173,2,7,0.276288233652345,0.108648081633975,0.0573954939216576,1.32998573300766,Skin neoplasm of uncertain behavior
174,0,0,NA,NA,NA,NA,Breast cancer
174.1,0,0,NA,NA,NA,NA,"Breast cancer, including in situ"
174.11,0,0,NA,NA,NA,NA,Breast cancer
174.2,0,0,NA,NA,NA,NA,Breast cancer [male]
174.3,0,0,NA,NA,NA,NA,Neoplasm of uncertain behavior of breast
175,7,0,214108298.268523,0.997261747931381,0,Inf,Acquired absence of breast
180,0,0,NA,NA,NA,NA,Cervical cancer and dysplasia
180.1,1,0,211395055.135073,0.998965817470401,0,Inf,Cervical cancer
180.3,5,5,0.975237448153751,0.968376853607837,0.282317863721266,3.36885547285259,Cervical intraepithelial neoplasia (Cervical dysplasia)
182,0,0,NA,NA,NA,NA,Uterine cancer
184,0,0,NA,NA,NA,NA,Cancer of other female genital organs
184.1,0,0,NA,NA,NA,NA,Ovarian cancer
184.11,4,0,217334238.341264,0.997928267410159,0,Inf,Malignant neoplasm of ovary
184.2,0,0,NA,NA,NA,NA,Cancer of other female genital organs
185,0,0,NA,NA,NA,NA,Prostate cancer
187,0,0,NA,NA,NA,NA,Cancer of other male genital organs
187.1,0,0,NA,NA,NA,NA,Malignant neoplasm of male genital organ
187.2,3,2,1.47986857303104,0.667664545333131,0.247270235515574,8.85675135496445,Malignant neoplasm of testis
187.8,0,0,NA,NA,NA,NA,Neoplasm of uncertain behavior of male genital organs
189,0,0,NA,NA,NA,NA,Cancer of kidney and urinary organs
189.1,2,0,216314010.004801,0.998535465339357,0,Inf,Cancer of kidney and renal pelvis
189.11,0,0,NA,NA,NA,NA,Renal cell carcinoma
189.12,0,0,NA,NA,NA,NA,Malignant neoplasm of renal pelvis
189.2,0,0,NA,NA,NA,NA,Bladder cancer and neoplasms
189.21,0,0,NA,NA,NA,NA,Bladder cancer
189.4,0,0,NA,NA,NA,NA,Malignant neoplasm of kidney and other urinary organs
190,0,0,NA,NA,NA,NA,Cancer of eye
191,5,1,4.91968692604155,0.145835475634387,0.574745440255333,42.1113727139997,Malignant neoplasm of brain and nervous system
191.1,0,0,NA,NA,NA,NA,Cancer of brain and nervous system
191.11,13,1,12.9216186032984,0.0136703678125241,1.69036342299864,98.7765264305788,Brain cancer
193,2,4,0.495875405523193,0.417979823559495,0.0908239040854458,2.7073535351603,Thyroid cancer
194,0,0,NA,NA,NA,NA,Cancer of other endocrine glands
195,1,1,0.984439264782881,0.991152018551526,0.0615742895133912,15.739047477527,"Cancer, suspected or other"
195.1,4,1,3.96353788619687,0.218045899393461,0.443000912778021,35.4618514819849,"Malignant neoplasm, other"
195.3,0,0,NA,NA,NA,NA,"Malignant neoplasm of head, face, and neck"
196,1,0,212446213.618313,0.998965524152494,0,Inf,Radiotherapy
197,14,2,6.96034318452833,0.0102678745974736,1.58190793049182,30.625282491218,Chemotherapy
198,0,1,4.47357159565551E-09,0.998962690327917,0,Inf,Secondary malignant neoplasm
198.1,0,0,NA,NA,NA,NA,Secondary malignancy of lymph nodes
198.2,1,0,216884165.226755,0.998964256474324,0,Inf,Secondary malignancy of lung
198.3,0,0,NA,NA,NA,NA,Secondary malignant neoplasm of digestive systems
198.4,0,0,NA,NA,NA,NA,Secondary malignant neoplasm of liver
198.5,1,0,215688234.006815,0.998964549094252,0,Inf,Secondary malignancy of brain/spine
198.6,0,0,NA,NA,NA,NA,Secondary malignancy of bone
198.7,0,0,NA,NA,NA,NA,Secondary malignant neoplasm of skin
199,2,1,1.95497866413173,0.584133991899755,0.177266080621482,21.5604788226311,Neoplasm of uncertain behavior
199.4,3,1,2.98378793574056,0.343775354978274,0.310372753224715,28.6848325214455,Neurofibromatosis
200,2,0,218233495.993495,0.998534732132908,0,Inf,Myeloproliferative disease
200.1,0,0,NA,NA,NA,NA,Polycythemia vera
201,1,4,0.249063681297513,0.213759089570272,0.0278379886590287,2.22834767630922,Hodgkin's disease
202,1,0,214079224.166943,0.998965021198168,0,Inf,"Cancer of other lymphoid, histiocytic tissue"
202.2,2,2,0.9886026278666,0.990854383311036,0.139252347602816,7.01844652998138,Non-Hodgkins lymphoma
202.21,0,0,NA,NA,NA,NA,Nodular lymphoma
202.22,1,0,217171318.000973,0.998964139319846,0,Inf,Reticulosarcoma
202.23,0,0,NA,NA,NA,NA,Lymphosarcoma
202.24,0,0,NA,NA,NA,NA,Large cell lymphoma
204,4,0,218103676.860051,0.997927851829523,0,Inf,Leukemia
204.1,2,0,213383169.944648,0.998536616819259,0,Inf,Lymphoid leukemia
204.11,9,2,4.48324346777094,0.0549542169955475,0.968664321446325,20.7496772063412,"Lymphoid leukemia, acute"
204.12,0,0,NA,NA,NA,NA,Chronic lymphoid leukemia
204.2,0,0,NA,NA,NA,NA,Myeloid leukemia
204.21,3,0,215482515.91407,0.998206633105019,0,Inf,"Myeloid leukemia, acute"
204.22,1,1,0.991679773534359,0.995286206430162,0.0620283625827927,15.854501590696,"Myeloid leukemia, chronic"
204.3,0,0,NA,NA,NA,NA,Monocytic leukemia
204.4,0,0,NA,NA,NA,NA,Multiple myeloma
208,3,2,1.4612596455306,0.677776833623862,0.244166414815864,8.74518206472633,Benign neoplasm of colon
209,0,0,NA,NA,NA,NA,Neuroendocrine tumors
210,1,0,212296932.811044,0.998965536756232,0,Inf,"Benign neoplasm of lip, oral cavity, and pharynx"
211,2,0,215852887.043785,0.998535588069939,0,Inf,Benign neoplasm of other parts of digestive system
212,0,0,NA,NA,NA,NA,Benign neoplasm of respiratory and intrathoracic organs
213,0,0,NA,NA,NA,NA,Benign neoplasm of bone and articular cartilage
214,0,0,NA,NA,NA,NA,Lipoma
214.1,1,1,0.967649876332883,0.981448322798177,0.0605253728542475,15.4703100371125,Lipoma of skin & subcutaneous tissue
215,1,0,213249317.819253,0.998965225717008,0,Inf,Other benign neoplasm of connective and other soft tissue
216,35,36,0.940660432130215,0.796648230547033,0.59069586490092,1.49796553717846,Benign neoplasm of skin
216.1,18,8,2.19558907705307,0.064197459466691,0.954675551195347,5.04947611703148,Screening for malignant neoplasms of the skin
217,0,1,4.57094181280197E-09,0.998963723743393,0,Inf,Vascular hamartomas and non-neoplastic nevi
217.1,0,0,NA,NA,NA,NA,"Nevus, non-neoplastic"
218,0,0,NA,NA,NA,NA,Benign neoplasm of uterus
218.1,3,1,2.90337320708478,0.355969077703643,0.30200896989637,27.9116742211672,Uterine leiomyoma
218.2,0,0,NA,NA,NA,NA,Benign neoplasm of uterus
220,3,0,215917692.204927,0.998206425249399,0,Inf,Benign neoplasm of ovary
221,0,0,NA,NA,NA,NA,Benign female genital neoplasms
222,0,0,NA,NA,NA,NA,Benign neoplasm of male genital organs
223,0,0,NA,NA,NA,NA,Benign neoplasm of urinary organs
224,0,0,NA,NA,NA,NA,Benign neoplasm of eye
224.1,0,0,NA,NA,NA,NA,"Benign neoplasm of eye, uveal"
225,0,0,NA,NA,NA,NA,Benign neoplasm of brain and other parts of nervous system
225.1,1,0,218630743.644609,0.998963798079984,0,Inf,"Benign neoplasm of brain, cranial nerves, meninges"
225.2,0,0,NA,NA,NA,NA,"Benign neoplasm of spinal cord, meninges"
226,0,1,4.48891165209243E-09,0.998962866580951,0,Inf,Benign neoplasm of thyroid glands
227,1,1,0.967023822541491,0.981083286103691,0.0604861935614017,15.4603062005128,Benign neoplasm of other endocrine glands
227.1,0,0,NA,NA,NA,NA,Benign neoplasm of adrenal gland
227.2,0,0,NA,NA,NA,NA,Benign neoplasm of parathyroid gland
227.3,1,0,214171885.791318,0.998964957312444,0,Inf,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)
228,2,1,1.95221622207197,0.584927475968708,0.177015370183678,21.5300410002044,"Hemangioma and lymphangioma, any site"
228.1,1,0,215537563.093623,0.998964563861442,0,Inf,Hemangioma of skin & subcutaneous tissue
229,0,0,NA,NA,NA,NA,Benign neoplasm of unspecified sites
229.1,0,0,NA,NA,NA,NA,Benign neoplasm of lymph nodes
230,0,0,NA,NA,NA,NA,Kaposi's sarcoma
240,2,2,0.986517171486758,0.989169587214288,0.138959823972356,7.00357917718607,Simple goiter
241,2,1,1.9676825893104,0.580507326681272,0.178417212148719,21.7006796914188,Nontoxic nodular goiter
241.1,4,1,3.91066899747127,0.222567676623646,0.437090864864151,34.9889078842591,Nontoxic uninodular goiter
241.2,2,1,1.95337773352644,0.584593575629168,0.177120864499655,21.5428294154713,Nontoxic multinodular goiter
242,9,1,8.90391622639132,0.0380538866332305,1.12805393218723,70.2800831631123,Thyrotoxicosis
242.1,5,4,1.23006525229846,0.757570757335265,0.330305013583877,4.58079793732184,Graves' disease
242.2,0,0,NA,NA,NA,NA,Toxic multinodular goiter
242.3,0,0,NA,NA,NA,NA,Exophthalmos
244,120,20,5.95114764333049,1.52789437857257E-13,3.7069362027303,9.55402422265392,Hypothyroidism
244.1,4,3,1.31266513596408,0.721686707892295,0.293785655352533,5.86512556955155,Iatrogenic hypothyroidism
244.2,12,2,5.87406703198292,0.0204413595500222,1.314651509937,26.2462433849729,Acquired hypothyroidism
244.3,0,0,NA,NA,NA,NA,Iodine hypothyroidism
244.4,39,3,12.8942810197714,1.97785590059778E-05,3.98476409717767,41.724548545947,Hypothyroidism NOS
244.5,1,0,209474105.911007,0.998966464251899,0,Inf,Congenital hypothyroidism
245,0,0,NA,NA,NA,NA,Thyroiditis
245.1,0,0,NA,NA,NA,NA,"Thyroiditis, acute and subacute"
245.2,11,3,3.61771530982815,0.0483661971964506,1.00927408097157,12.9676014768615,Chronic lymphocytic thyroiditis
245.21,4,1,3.92509272328273,0.221319100334046,0.438707993724657,35.1175567957314,Chronic lymphocytic thyroiditis
246,5,1,4.89214515357851,0.147254342035797,0.571547355942927,41.8741928465357,Other disorders of thyroid
246.2,0,0,NA,NA,NA,NA,Thyroid cyst
246.7,5,0,213015516.478918,0.99768643792953,0,Inf,Abnormal thyroid function
249,1,0,215419716.173511,0.998964648485482,0,Inf,Secondary diabetes mellitus
250,0,1,4.5140665297969E-09,0.99896312816899,0,Inf,Diabetes mellitus
250.1,60,44,1.34945786748881,0.131049763597022,0.914557721073727,1.99116632462462,Type 1 diabetes
250.11,41,16,2.52674945793525,0.00166348957071217,1.41790985681047,4.50272828876279,Type 1 diabetic ketoacidosis
250.12,6,0,213893417.705637,0.997464988815394,0,Inf,Type 1 diabetes nephropathy
250.13,3,0,216033825.094982,0.998206367546845,0,Inf,Type 1 diabetic retinopathy
250.14,5,0,214183189.182222,0.997685554074257,0,Inf,Type 1 diabetic neuropathy
250.15,0,0,NA,NA,NA,NA,Type 1 diabetic peripheral circulatory disorders
250.2,99,20,4.91227855720884,8.42914385875402E-11,3.03812190742382,7.94256496576044,Type 2 diabetes
250.21,23,3,7.52829057872834,0.00100716733824719,2.26038921943072,25.0731858701943,Type 2 diabetic ketoacidosis
250.22,2,0,215552137.952198,0.99853575342341,0,Inf,Type 2 diabetic nephropathy
250.23,2,0,213128996.398071,0.99853673469428,0,Inf,Type 2 diabetic retinopathy
250.24,5,1,4.85997437951368,0.148947191143187,0.567776106487181,41.5997621239503,Type 2 diabetic neuropathy
250.25,0,0,NA,NA,NA,NA,Type 2 diabetic peripheral circulatory disorders
250.3,39,3,12.7789076838171,2.11520324217424E-05,3.94910419109818,41.3512720073633,Insulin pump user
250.4,0,0,NA,NA,NA,NA,Abnormal glucose
250.41,7,0,213217430.820429,0.997262339076735,0,Inf,Impaired fasting glucose
250.42,15,2,7.41325285825606,0.00778694152261352,1.69528817159849,32.417095135291,Other abnormal glucose
250.5,0,1,4.56726233576839E-09,0.998963688960564,0,Inf,Glycosuria or Acetonuria
250.6,5,0,213014614.469998,0.997686461776462,0,Inf,Polyneuropathy in diabetes
250.7,3,0,212696922.784708,0.9982080944441,0,Inf,Diabetic retinopathy
251,0,0,NA,NA,NA,NA,Other disorders of pancreatic internal secretion
251.1,12,1,11.8170149794436,0.0176612793138881,1.53654044204832,90.8806818245806,Hypoglycemia
251.8,0,0,NA,NA,NA,NA,Other specified disorders of pancreatic internal secretion
252,0,0,NA,NA,NA,NA,Disorders of parathyroid gland
252.1,1,0,217584940.499446,0.998964009214609,0,Inf,Hyperparathyroidism
252.2,0,0,NA,NA,NA,NA,Hypoparathyroidism
253,0,0,NA,NA,NA,NA,Disorders of the pituitary gland and its hypothalamic control
253.1,4,1,3.95654096601499,0.218638837758603,0.442215002022733,35.399559816268,Pituitary hyperfunction
253.11,0,0,NA,NA,NA,NA,Acromegaly and gigantism
253.2,13,2,6.44246422246942,0.0141819086668915,1.45383243058922,28.5489196584898,Pituitary hypofunction
253.3,5,1,4.99050454594299,0.142247266922803,0.583041874605946,42.7158609146385,Posterior pituitary disorders
253.4,1,0,217822795.671778,0.998963947622575,0,Inf,Anterior pituitary disorders
253.7,0,0,NA,NA,NA,NA,Other disorders of neurohypophysis
254,0,0,NA,NA,NA,NA,Diseases of thymus gland
255,0,0,NA,NA,NA,NA,Disorders of adrenal glands
255.1,0,0,NA,NA,NA,NA,Adrenal hyperfunction
255.11,0,0,NA,NA,NA,NA,Cushing's syndrome
255.12,0,0,NA,NA,NA,NA,Hyperaldosteronism
255.13,0,0,NA,NA,NA,NA,Medulloadrenal hyperfunction
255.2,7,0,216220396.262082,0.997260085975117,0,Inf,Adrenal hypofunction
255.21,1,0,217997817.826413,0.998963918803604,0,Inf,Glucocorticoid deficiency
255.3,0,1,4.55563816571048E-09,0.998963536634554,0,Inf,Adrenogenital disorders
255.9,1,0,211444584.300979,0.998965815932457,0,Inf,Other disorders of adrenal glands
256,1,0,216518572.81263,0.998964346351915,0,Inf,Ovarian dysfunction
256.1,0,0,NA,NA,NA,NA,Hyperestrogenism
256.4,35,16,2.14939846504736,0.0112272833853745,1.18969997256946,3.88325953439341,Polycystic ovaries
257,1,0,215122613.193615,0.998964708464244,0,Inf,Testicular dysfunction
257.1,9,2,4.42569938644908,0.0570783422405521,0.956229329315046,20.4833866299059,Testicular hypofunction
258,1,0,218488587.67548,0.998963827902817,0,Inf,Iatrogenic endocrine disorders
258.1,0,0,NA,NA,NA,NA,Postablative ovarian failure
259,8,3,2.63398674682075,0.152557542686512,0.698783840269683,9.92851549021196,Other endocrine disorders
259.1,1,0,216538035.348146,0.998964322176062,0,Inf,Nonspecific abnormal results of other endocrine function study
259.2,0,0,NA,NA,NA,NA,Carcinoid syndrome
259.3,0,1,4.41824815198497E-09,0.998962169169958,0,Inf,Delay in sexual development and puberty NEC
259.4,0,0,NA,NA,NA,NA,Precocious sexual development and puberty NEC
259.8,1,0,218124431.891656,0.998963896969207,0,Inf,Polyglandular dysfunction and related disorders
260,21,4,5.2054590791426,0.00249504895003814,1.7868452758283,15.164605795019,Protein-calorie malnutrition
260.1,0,0,NA,NA,NA,NA,Cachexia
260.2,4,0,215226991.642389,0.997929456431764,0,Inf,severe protein-calorie malnutrition
260.21,0,0,NA,NA,NA,NA,Kwashiorkor
260.22,0,0,NA,NA,NA,NA,Nutritional marasmus
260.3,0,0,NA,NA,NA,NA,Adult failure to thrive
260.5,3,0,214896386.952375,0.998206942302245,0,Inf,Abnormal loss of weight and underweight
260.6,19,0,215263110.372324,0.995487185722152,0,Inf,Anorexia
260.7,4,0,216393887.819779,0.997928751930199,0,Inf,Polyphagia
261,1,0,218167195.00634,0.998963889707679,0,Inf,Vitamin deficiency
261.1,0,0,NA,NA,NA,NA,Vitamin A deficiency
261.2,5,2,2.45091413712519,0.283964973758672,0.475496985462049,12.6330561312035,Vitamin B-complex deficiencies
261.3,0,0,NA,NA,NA,NA,Vitamin C deficiencies
261.4,56,15,3.68036814289129,7.40011949551364E-06,2.08170980351428,6.50672329271959,Vitamin D deficiency
261.41,0,1,4.46475078320837E-09,0.998962610910205,0,Inf,Rickets or osteomalacia
262,1,1,0.965915189586002,0.980436320941461,0.0604166268685147,15.4426389196379,Mineral deficiency NEC
263,7,0,215961278.14849,0.997260306352578,0,Inf,Other nutritional deficiency
264,9,3,2.94491870319324,0.10521135145077,0.797254665286491,10.8780124419854,Lack of normal physiological development
264.1,0,2,4.43868398902202E-09,0.998532506142286,0,Inf,Short stature
264.2,5,0,217665125.076438,0.997683538370977,0,Inf,Failure to thrive
264.3,0,1,4.45596757421503E-09,0.99896249696747,0,Inf,Delayed milestones
264.9,3,2,1.47746409239509,0.668958616850268,0.246872074570049,8.84223194591192,"Lack of normal physiological development, unspecified"
269,8,2,3.90566677014045,0.0848266424042942,0.829388331488259,18.3921479724788,Proteinuria
270,0,0,NA,NA,NA,NA,Protein plasma/amino-acid transport and metabolism disorder
270.1,0,0,NA,NA,NA,NA,Disturbances of amino-acid transport
270.11,1,1,0.974814239641478,0.985609339043537,0.060972276342182,15.5851619590981,Disturbances of sulphur-bearing amino-acid metabolism
270.12,0,0,NA,NA,NA,NA,Phenylketonuria [PKU]
270.2,1,0,211267929.561887,0.99896588260484,0,Inf,Amino-acid metabolism disorder
270.21,0,0,NA,NA,NA,NA,Disorders of urea cycle metabolism
270.3,1,0,218630743.8026,0.99896379815393,0,Inf,Plasma protein metabolism disorder
270.31,0,0,NA,NA,NA,NA,Polyclonal hypergammaglobulinemia
270.32,0,0,NA,NA,NA,NA,Paraproteinemia
270.33,0,0,NA,NA,NA,NA,Amyloidosis
270.34,0,0,NA,NA,NA,NA,Alpha-1-antitrypsin deficiency
270.35,0,0,NA,NA,NA,NA,Macroglobulinemia
270.38,1,0,214695247.361593,0.998964835575156,0,Inf,Other specified disorders of plasma protein metabolism
271,0,0,NA,NA,NA,NA,Carbohydrate transport and metabolism disorder
271.3,5,0,214811668.919579,0.997685278105548,0,Inf,Disaccharide malabsorption
271.9,3,1,2.99672691170849,0.341868201647323,0.311719458240448,28.8091485659866,Disorders of carbohydrate transport & metabolism
272,0,0,NA,NA,NA,NA,Disorders of lipoid metabolism
272.1,66,13,4.99050124790603,1.17346759785969E-07,2.75327387107283,9.04563217158167,Hyperlipidemia
272.11,18,7,2.53976076066468,0.0363967476647512,1.0607988880799,6.08068578681071,Hypercholesterolemia
272.12,9,2,4.4255088873145,0.057086132772539,0.956184623307829,20.4825809098945,Hyperglyceridemia
272.13,17,5,3.34056294618488,0.0177500447932649,1.23245525282444,9.05457684719122,Mixed hyperlipidemia
272.14,0,0,NA,NA,NA,NA,Hyperchylomicronemia
