"","Phecode","No. Schizoaffective Patients with P","No. Schizophrenia Patients with P","Hazard Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"130","174.11",16,30,0.553353055251441,0.0562092609357578,0.301439563099655,1.01579102824959,"Breast cancer"
"131","174.2",0,0,NA,NA,NA,NA,"Breast cancer [male]"
"132","174.3",0,0,NA,NA,NA,NA,"Neoplasm of uncertain behavior of breast"
"133","175",6,4,1.66423250300568,0.431541603447273,0.467720647980553,5.92163257281663,"Acquired absence of breast"
"134","180",0,0,NA,NA,NA,NA,"Cervical cancer and dysplasia"
"135","180.1",0,0,NA,NA,NA,NA,"Cervical cancer"
"136","180.3",0,1,4.87592964303763e-09,0.998968115908774,0,Inf,"Cervical intraepithelial neoplasia (Cervical dysplasia)"
"137","182",1,3,0.345825445383279,0.357965219567578,0.0359449138328811,3.32718112027138,"Uterine cancer"
"138","184",0,0,NA,NA,NA,NA,"Cancer of other female genital organs"
"139","184.1",0,0,NA,NA,NA,NA,"Ovarian cancer"
"140","184.11",0,5,4.79424360841411e-09,0.997692565960533,0,Inf,"Malignant neoplasm of ovary"
"141","184.2",0,1,4.57392213509394e-09,0.9989637944088,0,Inf,"Cancer of other female genital organs"
"142","185",8,7,1.17199773098009,0.759168366764657,0.424882046083994,3.23284707857702,"Prostate cancer"
"143","187",0,0,NA,NA,NA,NA,"Cancer of other male genital organs"
"144","187.1",0,0,NA,NA,NA,NA,"Malignant neoplasm of male genital organ"
"145","187.2",0,0,NA,NA,NA,NA,"Malignant neoplasm of testis"
"146","187.8",0,0,NA,NA,NA,NA,"Neoplasm of uncertain behavior of male genital organs"
"147","189",0,0,NA,NA,NA,NA,"Cancer of kidney and urinary organs"
"148","189.1",0,0,NA,NA,NA,NA,"Cancer of kidney and renal pelvis"
"149","189.11",1,1,1.02553262439366,0.985776564678287,0.0641430999741984,16.3964193205317,"Renal cell carcinoma"
"150","189.12",0,0,NA,NA,NA,NA,"Malignant neoplasm of renal pelvis"
"151","189.2",1,0,229349939.9178,0.998961668535102,0,Inf,"Bladder cancer and neoplasms"
"152","189.21",4,4,1.02585618645795,0.971211547178938,0.256439859326087,4.10381177894753,"Bladder cancer"
"153","189.4",0,0,NA,NA,NA,NA,"Malignant neoplasm of kidney and other urinary organs"
"154","190",0,1,4.72049062496265e-09,0.998965688490244,0,Inf,"Cancer of eye"
"155","191",1,8,0.141092057450643,0.0653982898189968,0.0175709974839467,1.13294471152495,"Malignant neoplasm of brain and nervous system"
"156","191.1",0,1,4.93939093327064e-09,0.998969203501398,0,Inf,"Cancer of brain and nervous system"
"157","191.11",1,15,0.0678726378676879,0.00920002675562644,0.00896438278583509,0.513888694980484,"Brain cancer"
"158","193",3,6,0.507538133917934,0.3375567022625,0.126917193584129,2.02963010847027,"Thyroid cancer"
"159","194",0,2,4.57317918576823e-09,0.998534539997912,0,Inf,"Cancer of other endocrine glands"
"160","195",1,5,0.204156478700319,0.14696408882324,0.0238483693650946,1.74770304657886,"Cancer, suspected or other"
"161","195.1",0,5,5.2354431694367e-09,0.997721642895582,0,Inf,"Malignant neoplasm, other"
"162","195.3",0,0,NA,NA,NA,NA,"Malignant neoplasm of head, face, and neck"
"163","196",0,2,4.73071734474703e-09,0.998537628540788,0,Inf,"Radiotherapy"
"164","197",4,16,0.255023864567691,0.0145403082375773,0.085234771804368,0.763035673378869,"Chemotherapy"
"165","198",0,4,4.60575425778168e-09,0.997928342041143,0,Inf,"Secondary malignant neoplasm"
"166","198.1",2,4,0.500061037077348,0.423574116562814,0.0915925936371268,2.73014477342534,"Secondary malignancy of lymph nodes"
"167","198.2",0,5,4.57364876423986e-09,0.997682939396738,0,Inf,"Secondary malignancy of lung"
"168","198.3",0,3,4.87364506718914e-09,0.998214557494011,0,Inf,"Secondary malignant neoplasm of digestive systems"
"169","198.4",0,5,4.74908679178324e-09,0.997689833041545,0,Inf,"Secondary malignant neoplasm of liver"
"170","198.5",1,11,0.0908671132950889,0.0216615009930323,0.011731552813168,0.703814099469822,"Secondary malignancy of brain/spine"
"171","198.6",0,13,4.61538322729521e-09,0.996266239952736,0,Inf,"Secondary malignancy of bone"
"172","198.7",0,0,NA,NA,NA,NA,"Secondary malignant neoplasm of skin"
"173","199",1,3,0.44610080872745,0.486307208933558,0.0459724526655171,4.32880823207753,"Neoplasm of uncertain behavior"
"174","199.4",1,0,218199012.161034,0.998963894738295,0,Inf,"Neurofibromatosis"
"175","200",4,2,1.99977553398708,0.423567260206101,0.366284921336089,10.9180093238506,"Myeloproliferative disease"
"176","200.1",1,2,0.502796686908735,0.574527793205955,0.0455914456933495,5.54499872776084,"Polycythemia vera"
"177","201",1,1,1.01155833251283,0.993516498650274,0.0632685630585083,16.1731231216659,"Hodgkin's disease"
"178","202",2,1,2.1362870561663,0.535622444316148,0.193462751713112,23.5896695665287,"Cancer of other lymphoid, histiocytic tissue"
"179","202.2",2,8,0.254676219456226,0.0836359985490374,0.0540759369086257,1.19942400380621,"Non-Hodgkins lymphoma"
"180","202.21",0,3,4.59405705774281e-09,0.998205658773659,0,Inf,"Nodular lymphoma"
"181","202.22",0,0,NA,NA,NA,NA,"Reticulosarcoma"
"182","202.23",0,1,4.57392214163453e-09,0.99896379441391,0,Inf,"Lymphosarcoma"
"183","202.24",0,1,4.57392213984011e-09,0.99896379442123,0,Inf,"Large cell lymphoma"
"184","204",0,3,4.57142957761278e-09,0.998205149885996,0,Inf,"Leukemia"
"185","204.1",1,1,1.00647086984575,0.996360991758076,0.0629528479992755,16.0911482806896,"Lymphoid leukemia"
"186","204.11",1,1,1,1,0.0625488361661124,15.9875077026897,"Lymphoid leukemia, acute"
"187","204.12",2,2,0.999422513570799,0.999539099482639,0.140782112809808,7.09497350690839,"Chronic lymphoid leukemia"
"188","204.2",1,0,220491168.541964,0.998963338092828,0,Inf,"Myeloid leukemia"
"189","204.21",0,1,4.57392213281676e-09,0.998963794394985,0,Inf,"Myeloid leukemia, acute"
"190","204.22",0,0,NA,NA,NA,NA,"Myeloid leukemia, chronic"
"191","204.3",0,0,NA,NA,NA,NA,"Monocytic leukemia"
"192","204.4",2,3,0.676267304929525,0.668299496987941,0.112991854171057,4.0475260015141,"Multiple myeloma"
"193","208",10,12,1.28336720961989,0.57999907459625,0.530392366961778,3.10530749935591,"Benign neoplasm of colon"
"194","209",0,0,NA,NA,NA,NA,"Neuroendocrine tumors"
"195","210",0,0,NA,NA,NA,NA,"Benign neoplasm of lip, oral cavity, and pharynx"
"196","211",2,4,0.518748535838051,0.448704570631524,0.0949527569553168,2.83404139134955,"Benign neoplasm of other parts of digestive system"
"197","212",0,0,NA,NA,NA,NA,"Benign neoplasm of respiratory and intrathoracic organs"
"198","213",0,0,NA,NA,NA,NA,"Benign neoplasm of bone and articular cartilage"
"199","214",0,0,NA,NA,NA,NA,"Lipoma"
"200","214.1",1,0,719966161.806277,0.999337034585654,0,Inf,"Lipoma of skin & subcutaneous tissue"
"201","215",0,1,4.57241586901649e-09,0.99896375266956,0,Inf,"Other benign neoplasm of connective and other soft tissue"
"202","216",13,15,1.361503248506,0.441939797745755,0.620023423837508,2.98971139544912,"Benign neoplasm of skin"
"203","216.1",90,7,15.7633421221579,2.72197117714816e-12,7.27611317453885,34.1505071319822,"Screening for malignant neoplasms of the skin"
"204","217",0,0,NA,NA,NA,NA,"Vascular hamartomas and non-neoplastic nevi"
"205","217.1",0,0,NA,NA,NA,NA,"Nevus, non-neoplastic"
"206","218",0,0,NA,NA,NA,NA,"Benign neoplasm of uterus"
"207","218.1",7,3,2.50954048617837,0.182938522008236,0.647900485150307,9.72030982552408,"Uterine leiomyoma"
"208","218.2",0,0,NA,NA,NA,NA,"Benign neoplasm of uterus"
"209","220",1,0,218559352.091261,0.998963800276268,0,Inf,"Benign neoplasm of ovary"
"210","221",0,0,NA,NA,NA,NA,"Benign female genital neoplasms"
"211","222",0,0,NA,NA,NA,NA,"Benign neoplasm of male genital organs"
"212","223",0,0,NA,NA,NA,NA,"Benign neoplasm of urinary organs"
"213","224",0,0,NA,NA,NA,NA,"Benign neoplasm of eye"
"214","224.1",0,1,5.97226895858841e-09,0.99899492196806,0,Inf,"Benign neoplasm of eye, uveal"
"215","225",0,4,4.61821579922218e-09,0.997928709672606,0,Inf,"Benign neoplasm of brain and other parts of nervous system"
"216","225.1",4,0,227340191.401539,0.997924069422871,0,Inf,"Benign neoplasm of brain, cranial nerves, meninges"
"217","225.2",0,0,NA,NA,NA,NA,"Benign neoplasm of spinal cord, meninges"
"218","226",0,0,NA,NA,NA,NA,"Benign neoplasm of thyroid glands"
"219","227",0,4,5.83423748335551e-09,0.997997148789697,0,Inf,"Benign neoplasm of other endocrine glands"
"220","227.1",0,0,NA,NA,NA,NA,"Benign neoplasm of adrenal gland"
"221","227.2",0,0,NA,NA,NA,NA,"Benign neoplasm of parathyroid gland"
"222","227.3",2,1,2.01489944370269,0.567318080561958,0.182699127648843,22.2213418338625,"Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)"
"223","228",1,0,658848802.110846,0.999336756038148,0,Inf,"Hemangioma and lymphangioma, any site"
"224","228.1",0,1,4.60769012265196e-09,0.99896419031493,0,Inf,"Hemangioma of skin & subcutaneous tissue"
"225","229",0,0,NA,NA,NA,NA,"Benign neoplasm of unspecified sites"
"226","229.1",0,0,NA,NA,NA,NA,"Benign neoplasm of lymph nodes"
"227","230",0,0,NA,NA,NA,NA,"Kaposi's sarcoma"
"228","240",0,1,4.57392213726778e-09,0.998963794281107,0,Inf,"Simple goiter"
"229","241",1,1,1.03318152207635,0.98158715744904,0.0646018758241792,16.5237316090515,"Nontoxic nodular goiter"
"230","241.1",3,4,0.793599291082616,0.762223159866689,0.177513178439575,3.54790467019447,"Nontoxic uninodular goiter"
"231","241.2",8,3,2.86473342565058,0.120211884763282,0.759537946598033,10.8048552897159,"Nontoxic multinodular goiter"
"232","242",2,7,0.291577837606429,0.124280366080821,0.0605674581144176,1.40368504853934,"Thyrotoxicosis"
"233","242.1",0,2,4.63687075106398e-09,0.99853570338261,0,Inf,"Graves' disease"
"234","242.2",0,0,NA,NA,NA,NA,"Toxic multinodular goiter"
"235","242.3",0,0,NA,NA,NA,NA,"Exophthalmos"
"236","244",0,122,1.69041028294651e-09,0.992700866833789,0,Inf,"Hypothyroidism"
"237","244.1",7,5,1.53277348578562,0.468238634330713,0.48338988545863,4.8602476580542,"Iatrogenic hypothyroidism"
"238","244.2",10,7,1.51644836077752,0.39862697916563,0.576688992045402,3.98761839158495,"Acquired hypothyroidism"
"239","244.3",0,1,4.61430994969059e-09,0.998964284164858,0,Inf,"Iodine hypothyroidism"
"240","244.4",184,17,11.5295226167325,5.30506670532796e-22,7.01418293504253,18.951586093604,"Hypothyroidism NOS"
"241","244.5",2,0,220147119.081279,0.998534056964318,0,Inf,"Congenital hypothyroidism"
"242","245",0,1,4.87866987547163e-09,0.998968147137525,0,Inf,"Thyroiditis"
"243","245.1",0,0,NA,NA,NA,NA,"Thyroiditis, acute and subacute"
"244","245.2",0,5,5.34656429772681e-09,0.99772277852736,0,Inf,"Chronic lymphocytic thyroiditis"
"245","245.21",5,2,2.57690676712189,0.257944091418794,0.499864396005234,13.2844998353695,"Chronic lymphocytic thyroiditis"
"246","246",7,2,3.57198387827689,0.11235892572317,0.741910852137333,17.197576757252,"Other disorders of thyroid"
"247","246.2",0,0,NA,NA,NA,NA,"Thyroid cyst"
"248","246.7",1,0,627822500.789895,0.999337363324473,0,Inf,"Abnormal thyroid function"
"249","249",5,4,1.30746209944029,0.689751417211081,0.350576544395028,4.87613095856925,"Secondary diabetes mellitus"
"250","250",0,0,NA,NA,NA,NA,"Diabetes mellitus"
"251","250.1",11,27,0.415328529655894,0.0140391045466166,0.206010321493697,0.837325947046805,"Type 1 diabetes"
"252","250.11",2,12,0.173443832773964,0.0218368044729612,0.0388041081491353,0.775246863339986,"Type 1 diabetic ketoacidosis"
"253","250.12",0,2,4.65387865001721e-09,0.998535996710234,0,Inf,"Type 1 diabetes nephropathy"
"254","250.13",0,3,5.53946908326237e-09,0.998244150623999,0,Inf,"Type 1 diabetic retinopathy"
"255","250.14",2,2,1.01562678020619,0.987629113527043,0.143051876071894,7.21065521820623,"Type 1 diabetic neuropathy"
"256","250.15",0,0,NA,NA,NA,NA,"Type 1 diabetic peripheral circulatory disorders"
"257","250.2",254,208,1.26528240795569,0.0119970234743307,1.05308646809153,1.52023563153696,"Type 2 diabetes"
"258","250.21",2,59,0.0353902240993843,3.39746485659808e-06,0.00864189718307268,0.144929745780581,"Type 2 diabetic ketoacidosis"
"259","250.22",19,16,1.38514283762234,0.348527869581207,0.700915726716048,2.73730579509984,"Type 2 diabetic nephropathy"
"260","250.23",10,11,0.985106410496174,0.972665091785575,0.417568802932894,2.3240113561755,"Type 2 diabetic retinopathy"
"261","250.24",33,24,1.4703296883139,0.151297395416792,0.868458666157748,2.48931754219443,"Type 2 diabetic neuropathy"
"262","250.25",9,9,1.27131061257328,0.622873348220964,0.488386669929513,3.30932593609634,"Type 2 diabetic peripheral circulatory disorders"
"263","250.3",23,20,1.28067082403815,0.422123114106682,0.70003533543238,2.34290710272438,"Insulin pump user"
"264","250.4",0,0,NA,NA,NA,NA,"Abnormal glucose"
"265","250.41",13,7,2.02605465854087,0.132379740467776,0.807683850215874,5.08230723976716,"Impaired fasting glucose"
"266","250.42",20,16,1.38676650574541,0.332585587089197,0.715737735759287,2.68690785098427,"Other abnormal glucose"
"267","250.5",0,0,NA,NA,NA,NA,"Glycosuria or Acetonuria"
"268","250.6",2,11,0.196882809835891,0.0349943339363153,0.0434622676767382,0.891873408382284,"Polyneuropathy in diabetes"
"269","250.7",13,16,0.880964454202094,0.734821222622497,0.423122171074712,1.83421815877985,"Diabetic retinopathy"
"270","251",0,0,NA,NA,NA,NA,"Other disorders of pancreatic internal secretion"
"271","251.1",7,4,1.93665618874008,0.294107570360306,0.563376284221702,6.65742825608414,"Hypoglycemia"
"272","251.8",0,0,NA,NA,NA,NA,"Other specified disorders of pancreatic internal secretion"
"273","252",0,0,NA,NA,NA,NA,"Disorders of parathyroid gland"
"274","252.1",5,5,1.38849414460605,0.625859092280254,0.371132484073931,5.19468403423627,"Hyperparathyroidism"
"275","252.2",0,0,NA,NA,NA,NA,"Hypoparathyroidism"
"276","253",0,1,4.79725022107161e-09,0.998966849053246,0,Inf,"Disorders of the pituitary gland and its hypothalamic control"
"277","253.1",2,2,1.14966428043804,0.889506806958904,0.160712899890114,8.22415598635109,"Pituitary hyperfunction"
"278","253.11",0,0,NA,NA,NA,NA,"Acromegaly and gigantism"
"279","253.2",1,4,0.28930221841123,0.268369838489561,0.0321746496285908,2.60129557101023,"Pituitary hypofunction"
"280","253.3",3,4,0.778447547860839,0.743039493438822,0.1741546954833,3.47955352618479,"Posterior pituitary disorders"
"281","253.4",0,1,5.99521576745251e-09,0.998995645459165,0,Inf,"Anterior pituitary disorders"
"282","253.7",1,0,218630744.345619,0.998963788375027,0,Inf,"Other disorders of neurohypophysis"
"283","254",0,0,NA,NA,NA,NA,"Diseases of thymus gland"
"284","255",0,0,NA,NA,NA,NA,"Disorders of adrenal glands"
"285","255.1",0,0,NA,NA,NA,NA,"Adrenal hyperfunction"
"286","255.11",0,1,4.5739221374647e-09,0.998963794386564,0,Inf,"Cushing's syndrome"
"287","255.12",0,1,4.57541375497574e-09,0.998963799739974,0,Inf,"Hyperaldosteronism"
"288","255.13",0,0,NA,NA,NA,NA,"Medulloadrenal hyperfunction"
"289","255.2",0,4,4.9560771473766e-09,0.997944820767769,0,Inf,"Adrenal hypofunction"
"290","255.21",0,0,NA,NA,NA,NA,"Glucocorticoid deficiency"
"291","255.3",0,0,NA,NA,NA,NA,"Adrenogenital disorders"
"292","255.9",0,2,4.92280679135125e-09,0.998542840033581,0,Inf,"Other disorders of adrenal glands"
"293","256",1,2,0.566628722239693,0.643408713315574,0.0511477634602323,6.27726584988647,"Ovarian dysfunction"
"294","256.1",0,0,NA,NA,NA,NA,"Hyperestrogenism"
"295","256.4",12,8,1.59737125784569,0.305219607531141,0.652494356058367,3.91052414737406,"Polycystic ovaries"
"296","257",0,0,NA,NA,NA,NA,"Testicular dysfunction"
