"Phecode","Number of Schizophrenia Patients","Number of Non-Schizophrenic Participants","Hazard Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"054",16,13,1.27104401456812,0.52073995786349,0.61132193100356,2.64272031647436,"Herpes simplex"
"070",24,9,2.69795540431563,0.0111148825629394,1.25403320464242,5.80444228807439,"Viral hepatitis"
"070.1",0,0,NA,NA,NA,NA,"Viral hepatitis A"
"070.2",27,16,1.71301649332176,0.0880233343172997,0.922971199916723,3.17932510424718,"Viral hepatitis B"
"070.3",213,20,10.8551328855416,2.06719814324356e-24,6.86365264860488,17.167813698544,"Viral hepatitis C"
"070.4",10,5,2.05501693181934,0.18854325572682,0.702326747638026,6.01300549105775,"Chronic hepatitis"
"070.9",0,0,NA,NA,NA,NA,"Hepatitis NOS"
"071",53,9,6.08986031890367,5.44579400225977e-07,3.00368758035859,12.3469561036471,"Human immunodeficiency virus"
"071.1",135,38,3.5854707145824,3.57416955338965e-12,2.50165916345483,5.138829634719,"HIV infection, symptomatic"
"078",46,47,1.02059514968332,0.921741881425493,0.679546159456056,1.53280898591331,"Viral warts & HPV"
"079",36,4,9.21215981636271,2.52425178511882e-05,3.27855588099859,25.8845331793947,"Viral infection"
"079.1",1,0,217758751.382001,0.998963976461027,0,Inf,"Varicella infection"
"079.2",1,1,1.04541564692204,0.974952191135462,0.0653439347106021,16.7252535322473,"Infectious mononucleosis"
"079.9",0,0,NA,NA,NA,NA,"Viremia, NOS"
"080",46,4,11.8620223999306,2.09412193588684e-06,4.26958779864761,32.9557751361912,"Postoperative infection"
"081",90,9,10.2063785862186,3.04653579856553e-11,5.14364006742635,20.2522265321228,"Infection/inflammation of internal prosthetic device, implant or graft"
"081.1",0,0,NA,NA,NA,NA,"Graft-versus-host disease"
"081.11",0,0,NA,NA,NA,NA,"Acute graft-versus-host disease"
"081.12",0,0,NA,NA,NA,NA,"Chronic graft-versus-host disease"
"090",20,5,4.12203149538853,0.00463142724054704,1.54649278273442,10.9868884217696,"Sexually transmitted infections"
"090.2",0,0,NA,NA,NA,NA,"Gonococcal infections"
"090.3",0,0,NA,NA,NA,NA,"Venereal diseases due to Chlamydia trachomatis"
"1000",15,0,226434129.190663,0.995981687663601,0,Inf,"Burns"
"1001",37,7,5.48447128843671,3.65866876851149e-05,2.44455003567825,12.3046879281164,"Foreign body injury"
"1002",218,40,5.71055991515391,4.29151495519733e-24,4.0756742256308,8.0012515081515,"Symptoms concerning nutrition, metabolism, and development"
"1003",0,0,NA,NA,NA,NA,"Sudden death"
"1004",13,1,13.4760841389057,0.0122103557490778,1.76248082023385,103.039330490286,"Symptoms involving emotional state"
"1005",170,13,13.5028233607191,1.51129146807253e-19,7.68145887994677,23.7358868361272,"Other symptoms"
"1006",1,1,0.998832331868585,0.999340828998916,0.0624757887942757,15.9688424338461,"Crushing injury"
"1007",6,0,220806868.460015,0.997460705528619,0,Inf,"Injury to blood vessels"
"1008",53,0,221873275.942401,0.992451948986853,0,Inf,"Internal injury to organs"
"1009",776,82,10.4336229116361,1.29328687479514e-90,8.30904590737249,13.1014424851868,"Injury, NOS"
"1010",1874,1656,1.23760597711911,2.69698847980613e-10,1.1583748932872,1.32225634678115,"Other tests"
"1010.1",0,0,NA,NA,NA,NA,"nan"
"1011",29,6,5.07064228551412,0.00029722637218164,2.10417116423942,12.2192593571339,"Complications of medical procedures NOS"
"1012",2,0,220968918.883201,0.998533762584273,0,Inf,"Late effect"
"1013",366,78,4.82065708447488,1.86158685186025e-36,3.77512117324559,6.15575862591948,"Asphyxia and hypoxemia"
"1014",4,0,218387206.05918,0.997927715690687,0,Inf,"Effects of heat, cold & air pressure"
"1015",346,27,13.5086605244761,8.75402443746272e-39,9.13037359819459,19.9864668409214,"Effects of other external causes"
"1019",1999,2006,1.02695715550465,0.400078259286553,0.965261202428543,1.09259648744691,"Other causes of morbidity & mortality"
"110",0,0,NA,NA,NA,NA,"Dermatophytosis / Dermatomycosis"
"110.1",0,0,NA,NA,NA,NA,"Dermatophytosis"
"110.11",1217,539,2.34156049129943,1.00761584671318e-60,2.11568126670875,2.59155555266785,"Dermatophytosis of nail"
"110.12",22,33,0.693097879266697,0.183177320806947,0.403982804340177,1.18912157914395,"Althete's foot"
"110.13",10,7,1.52745179682113,0.390474188597243,0.580890020650928,4.01643841117751,"Dermatophytosis of the body"
"110.2",4,2,2.10282662671551,0.390858729920584,0.385002009397178,11.4853421906741,"Dermatomycoses"
"1100",0,0,NA,NA,NA,NA,"x"
"112",45,4,11.6297402864822,2.57729006509993e-06,4.18209674088648,32.3404424887496,"Candidiasis"
"112.3",3,0,248886987.887989,0.998200836578963,0,Inf,"Candidiasis of skin and nails"
"117",9,1,8.99004555109351,0.0372129732711625,1.13898089570993,70.9589768495289,"Mycoses"
"117.1",1,0,221662694.48755,0.998963051954134,0,Inf,"Histoplasmosis"
"117.2",2,0,221683296.084103,0.998533522720057,0,Inf,"Coccidioidomycosis"
"117.3",0,0,NA,NA,NA,NA,"Blastomycotic infection"
"117.4",9,1,9.04329678080178,0.0367065019788574,1.14571721590726,71.3799317407481,"Aspergillosis"
"130",0,0,NA,NA,NA,NA,"Spirochetal infection"
"130.1",33,5,6.77207402626475,6.75854692512486e-05,2.64305009139043,17.3515389536501,"Lyme disease"
"131",0,0,NA,NA,NA,NA,"Protozoan infection"
"132",1,0,259810560.609466,0.998960272578366,0,Inf,"Infestation"
"132.1",0,0,NA,NA,NA,NA,"Pediculosis & phthirus infestation"
"133",5,0,223752845.597366,0.997680417287113,0,Inf,"Arthropod-borne diseases"
"134",0,0,NA,NA,NA,NA,"Helminthiases"
"134.1",0,0,NA,NA,NA,NA,"Intestinal helminthiases"
"136",16,1,16.8706791467912,0.00612890730963264,2.23667715921422,127.251183167609,"Other infectious diseases"
"145",8,3,2.68903465084649,0.1440101436327,0.713330663281995,10.1368239522806,"Cancer of mouth"
"145.1",0,1,4.70088973215912e-09,0.998965435565971,0,Inf,"Cancer of lip"
"145.2",20,5,4.03035697189581,0.00530957176150742,1.51262060156591,10.7388312073055,"Cancer of tongue"
"145.3",6,4,1.51906039377329,0.517222069525645,0.428613476993553,5.38374223815033,"Cancer of major salivary glands"
"145.4",1,0,218630744.003847,0.998963748919729,0,Inf,"Cancer of the gums"
"145.5",1,0,218630744.064682,0.998963748800694,0,Inf,"Cancer of the mouth floor"
"149",5,1,5.08511107079314,0.137656166117707,0.594059434509645,43.5282281538837,"Cancer of the upper aerodigestive tract"
"149.1",11,4,2.76004390407889,0.0820719735760488,0.878850655938286,8.66796002366299,"Cancer of oropharynx"
"149.2",3,1,2.99839779276527,0.341622913667479,0.311893512316085,28.8251886257525,"Cancer of nasopharynx"
"149.3",5,0,218354462.532993,0.997683204969138,0,Inf,"Cancer of hypopharynx"
"149.4",43,17,2.5790301171595,0.000947123500530331,1.47064559338535,4.52277311075646,"Cancer of larynx"
"149.5",6,3,2.05103134763106,0.309727326321162,0.51289113649632,8.20199315141694,"Hx of malignant neoplasm of oral cavity and pharynx"
"149.9",3,1,3.0082396067649,0.340188028860088,0.312911590500103,28.9203270394871,"Cancer of of nasal cavities"
"150",35,14,2.51636065936181,0.00352196163205721,1.35390663369648,4.67688894521166,"Esophageal cancer"
"151",20,12,1.68276672779235,0.154093436215679,0.82261331417551,3.44232680333304,"Stomach cancer"
"153",1,0,217752783.687703,0.998963979335581,0,Inf,"Colorectal cancer"
"153.2",181,92,2.00437388554375,5.6481207576076e-08,1.55944883796969,2.57624012742882,"Colon cancer"
"153.3",51,30,1.71996487335282,0.0184383576147707,1.09558961645613,2.70017086793558,"Cancer of the lower GI tract"
"155",9,2,4.52652381653695,0.0534250042053197,0.977970385303961,20.9509594253286,"Hepatic cancer"
"155.1",22,5,4.43046467987649,0.00266205258948239,1.67769360783139,11.7000012326481,"Hepatic cancer, primary"
"157",33,10,3.3440615859007,0.000828784103547131,1.64777495067426,6.78657475993359,"Pancreatic cancer"
"158",12,2,6.18186906137203,0.0170978959209212,1.38317449179356,27.628838818734,"Neoplasm of unspecified nature of digestive system"
"159",7,6,1.18075106974629,0.765234430551064,0.396775356504868,3.5137592742353,"Cancer of the digestive organs and peritoneum"
"159.2",1,2,0.513910819031158,0.586779127859656,0.0465920967446872,5.66843624498164,"Malignant neoplasm of small intestine"
"159.3",4,0,218382775.800375,0.997927729685311,0,Inf,"Malignant neoplasm of gallbladder & extrahepatic bile ducts"
"159.4",5,0,219695457.102172,0.997682345059603,0,Inf,"Malignant neoplasm of retroperitoneum and peritoneum"
"164",4,0,227671545.67135,0.997924137283359,0,Inf,"Cancer of intrathoracic organs"
"165",3,1,2.99728665599189,0.341785961318858,0.31177782650297,28.814516410459,"Cancer within the respiratory system"
"165.1",229,79,2.92504773454252,1.945221826756e-16,2.26496795018029,3.77749462135713,"Lung cancer"
"170",0,0,NA,NA,NA,NA,"Cancer of bone & connective tissue"
"170.1",15,1,15.1118050962265,0.00855795955761194,1.99614210481285,114.40400596517,"Bone cancer"
"170.2",26,11,2.42596080697152,0.0137722980494208,1.1984667220379,4.9106793945471,"Cancer of connective tissue"
"172",0,0,NA,NA,NA,NA,"Skin cancer"
"172.1",46,78,0.610829685324223,0.008026381577159,0.424269634265634,0.879424013267196,"Melanoma"
"172.11",52,35,1.52702349544389,0.0529095488852542,0.994698579291519,2.34422849713783,"Melanomas of skin"
"172.2",282,514,0.563070999545209,9.26276069403804e-15,0.486936916314878,0.65110888064979,"Non-melanoma skin cancer"
"172.21",56,97,0.606242550803659,0.00287256638275412,0.436256862112306,0.842462462654199,"Basal cell carcinoma (new)"
"172.22",66,80,0.85872091870759,0.359873618486085,0.619804078835768,1.1897334035154,"Squamous cell carcinoma"
"172.3",34,50,0.720562967480357,0.140616083949326,0.465967380831495,1.11426467058186,"Carcinoma in situ of skin"
"173",143,295,0.507085119373467,2.69526475070264e-11,0.415259665720823,0.619215732988799,"Skin neoplasm of uncertain behavior"
"174",0,0,NA,NA,NA,NA,"Breast cancer"
"174.1",0,0,NA,NA,NA,NA,"Breast cancer, including in situ"
"174.11",6,6,1.02751295367522,0.962509680846851,0.331350132596868,3.18630586230934,"Breast cancer"
"174.2",3,3,1.01081142966912,0.989492360132507,0.204006834547133,5.00836037487591,"Breast cancer [male]"
"174.3",1,0,218630743.890973,0.998963748932754,0,Inf,"Neoplasm of uncertain behavior of breast"
"175",4,4,1.01978794902366,0.9778943940073,0.255017304993678,4.07802702251783,"Acquired absence of breast"
"180",0,0,NA,NA,NA,NA,"Cervical cancer and dysplasia"
"180.1",0,0,NA,NA,NA,NA,"Cervical cancer"
"180.3",0,0,NA,NA,NA,NA,"Cervical intraepithelial neoplasia (Cervical dysplasia)"
"182",0,0,NA,NA,NA,NA,"Uterine cancer"
"184",0,0,NA,NA,NA,NA,"Cancer of other female genital organs"
"184.1",0,0,NA,NA,NA,NA,"Ovarian cancer"
"184.11",0,0,NA,NA,NA,NA,"Malignant neoplasm of ovary"
"184.2",0,0,NA,NA,NA,NA,"Cancer of other female genital organs"
"185",773,778,1.01438884268694,0.778502169149611,0.918269891173456,1.12056894607839,"Prostate cancer"
"187",0,0,NA,NA,NA,NA,"Cancer of other male genital organs"
"187.1",3,2,1.50347789993654,0.65509442341371,0.251217731538163,8.99795480899088,"Malignant neoplasm of male genital organ"
"187.2",22,7,3.1978543032905,0.00739205096118918,1.36600981117475,7.48623623448141,"Malignant neoplasm of testis"
"187.8",7,8,0.901484680631492,0.841186985450481,0.326877697502335,2.4861733780643,"Neoplasm of uncertain behavior of male genital organs"
"189",0,0,NA,NA,NA,NA,"Cancer of kidney and urinary organs"
"189.1",17,6,2.90787025844157,0.0246061462648397,1.14633983231137,7.37626766652584,"Cancer of kidney and renal pelvis"
"189.11",54,31,1.77014276539749,0.0112760507937345,1.13810972381029,2.75316636378319,"Renal cell carcinoma"
"189.12",8,6,1.36406378804582,0.565446122700684,0.473205402607628,3.93205573648265,"Malignant neoplasm of renal pelvis"
"189.2",19,17,1.16700917368296,0.643854179984168,0.606341027178412,2.24611291404408,"Bladder cancer and neoplasms"
"189.21",207,175,1.20272448371645,0.0722890492460663,0.983431855118315,1.47091654210955,"Bladder cancer"
"189.4",4,3,1.39321000516744,0.664516868902243,0.31128582556601,6.23553647188817,"Malignant neoplasm of kidney and other urinary organs"
"190",4,9,0.451002765503356,0.185168022746199,0.138879603097023,1.46460308033552,"Cancer of eye"
"191",46,0,221244064.038029,0.99296835881052,0,Inf,"Malignant neoplasm of brain and nervous system"
"191.1",9,1,9.07841381427403,0.0363778991171289,1.15015236985358,71.6579816235075,"Cancer of brain and nervous system"
"191.11",140,4,35.250410331918,2.13671019193122e-12,13.04739021165,95.2367798013037,"Brain cancer"
"193",19,15,1.29612633708326,0.452830180103977,0.658482422876641,2.55123511777562,"Thyroid cancer"
"194",2,1,1.99835810752257,0.571882214855892,0.181204270924515,22.0383057503359,"Cancer of other endocrine glands"
"195",44,9,4.96474516582575,1.18839566609242e-05,2.4236830714386,10.1699330461386,"Cancer, suspected or other"
"195.1",66,20,3.36368959107488,2.01688576617996e-06,2.03947289148757,5.54771172116578,"Malignant neoplasm, other"
"195.3",0,0,NA,NA,NA,NA,"Malignant neoplasm of head, face, and neck"
"196",33,13,2.58082245407597,0.00378942778869985,1.35833881750933,4.90352219461399,"Radiotherapy"
"197",170,61,2.82552687996033,3.43513744091791e-12,2.10884006749282,3.78577886130074,"Chemotherapy"
"198",58,8,7.35594170464013,1.2186953933196e-07,3.51225716757032,15.406012652398,"Secondary malignant neoplasm"
"198.1",53,17,3.15762037864227,3.71003147099725e-05,1.8284499397222,5.45301582450314,"Secondary malignancy of lymph nodes"
"198.2",53,11,4.84302309929914,1.92438269204179e-06,2.52980149468991,9.27142812966834,"Secondary malignancy of lung"
"198.3",15,1,15.0409795504521,0.00867271121962821,1.98681137777064,113.866403408141,"Secondary malignant neoplasm of digestive systems"
"198.4",43,9,4.81155755045383,1.82215445049845e-05,2.34559961709396,9.87000760599197,"Secondary malignant neoplasm of liver"
"198.5",74,3,24.7123009501758,5.15411583760794e-08,7.7912763104994,78.3822565025829,"Secondary malignancy of brain/spine"
"198.6",112,45,2.50934155986392,1.86608992807406e-07,1.77546411735818,3.54656284094869,"Secondary malignancy of bone"
"198.7",3,0,223437842.750393,0.998203452842798,0,Inf,"Secondary malignant neoplasm of skin"
"199",75,50,1.56033344357371,0.0148871792644143,1.09068991162288,2.23220223199094,"Neoplasm of uncertain behavior"
"199.4",7,1,7.08205796802719,0.0671010708727567,0.871201111277139,57.5705705758017,"Neurofibromatosis"
"200",87,51,1.72174887638609,0.00206709932643985,1.21851354651702,2.43281595170625,"Myeloproliferative disease"
"200.1",26,7,3.74012264718488,0.00195027904477345,1.62334946605118,8.61707088247146,"Polycythemia vera"
"201",14,8,1.82152548653468,0.176206349126507,0.763898428242684,4.34345061519266,"Hodgkin's disease"
"202",11,6,1.90771944576914,0.203314539292229,0.705243575028562,5.16047733383225,"Cancer of other lymphoid, histiocytic tissue"
"202.2",153,57,2.71614937736284,1.2051728054925e-10,2.00380817336727,3.68172339957631,"Non-Hodgkins lymphoma"
"202.21",22,4,5.51759864759432,0.00167718570514001,1.90138690917774,16.0114149776598,"Nodular lymphoma"
"202.22",9,7,1.33537523671913,0.566328413556082,0.496962179230817,3.58825499679412,"Reticulosarcoma"
"202.23",4,0,219792567.511436,0.997926962226119,0,Inf,"Lymphosarcoma"
"202.24",13,2,6.52764442960248,0.0135157811820466,1.47302438813272,28.9269764591848,"Large cell lymphoma"
"204",28,8,3.60051916913436,0.00140022245878515,1.64067396519745,7.90147132355076,"Leukemia"
"204.1",4,1,4.20782096857797,0.199096028869085,0.469419768437751,37.7183887302616,"Lymphoid leukemia"
"204.11",16,2,8.07101672375362,0.00536418926557649,1.85572030184997,35.102979091284,"Lymphoid leukemia, acute"
"204.12",52,45,1.17010806014409,0.440394421915855,0.785067218978622,1.74399444953954,"Chronic lymphoid leukemia"
"204.2",6,0,224056438.915549,0.997458893484623,0,Inf,"Myeloid leukemia"
"204.21",31,4,7.76191635108842,0.000114716763607974,2.73994616071948,21.9885143383523,"Myeloid leukemia, acute"
"204.22",15,9,1.67129048531931,0.223203269140759,0.731375542866518,3.81912126206911,"Myeloid leukemia, chronic"
"204.3",3,1,3.0039349573257,0.340814896963986,0.312465818745533,28.8787594882243,"Monocytic leukemia"
"204.4",75,16,4.6977019272492,1.93211500571373e-08,2.73830706285057,8.0591412470403,"Multiple myeloma"
"208",124,152,0.892174836409622,0.346241289531493,0.703629010357333,1.1312437762029,"Benign neoplasm of colon"
"209",6,0,220955410.028445,0.997460520308203,0,Inf,"Neuroendocrine tumors"
"210",2,1,2.06428302030937,0.55402914081048,0.187144656526,22.7698961169409,"Benign neoplasm of lip, oral cavity, and pharynx"
"211",10,8,1.31590781350526,0.562894800106044,0.519183937160594,3.33525991407658,"Benign neoplasm of other parts of digestive system"
"212",3,0,227346805.499338,0.998202204337969,0,Inf,"Benign neoplasm of respiratory and intrathoracic organs"
"213",0,2,4.60233985236152e-09,0.998535140627743,0,Inf,"Benign neoplasm of bone and articular cartilage"
"214",3,2,1.50873182068891,0.652336069135611,0.252097349221667,9.0293361425144,"Lipoma"
"214.1",1,2,0.519128205271106,0.592463471808421,0.047066623596636,5.72580042744476,"Lipoma of skin & subcutaneous tissue"
"215",2,1,2.01196117668138,0.568124467661906,0.182433964434725,22.1887837005346,"Other benign neoplasm of connective and other soft tissue"
"216",156,289,0.564704086072208,8.94353351641942e-09,0.464751125372254,0.686153701233589,"Benign neoplasm of skin"
"216.1",44,65,0.705869111861738,0.0744540161253196,0.481404270217549,1.03499539556497,"Screening for malignant neoplasms of the skin"
"217",0,2,4.56822128290266e-09,0.998534441490412,0,Inf,"Vascular hamartomas and non-neoplastic nevi"
"217.1",1,5,0.208778822409833,0.152729396815957,0.0243903321868004,1.78712599537393,"Nevus, non-neoplastic"
"218",0,0,NA,NA,NA,NA,"Benign neoplasm of uterus"
"218.1",0,0,NA,NA,NA,NA,"Uterine leiomyoma"
"218.2",0,0,NA,NA,NA,NA,"Benign neoplasm of uterus"
"220",0,0,NA,NA,NA,NA,"Benign neoplasm of ovary"
"221",0,0,NA,NA,NA,NA,"Benign female genital neoplasms"
"222",4,2,2.06675055078857,0.401904675258536,0.378504559674723,11.2850895187515,"Benign neoplasm of male genital organs"
"223",2,4,0.53034040526793,0.464340475766417,0.0969958891062777,2.89972026702675,"Benign neoplasm of urinary organs"
"224",0,1,4.63748609334821e-09,0.998964487219887,0,Inf,"Benign neoplasm of eye"
"224.1",15,28,0.561749257907535,0.0715671629388831,0.299991475511952,1.0519039856754,"Benign neoplasm of eye, uveal"
"225",40,7,5.77011863983297,1.88738393248251e-05,2.58483616061333,12.8806110132132,"Benign neoplasm of brain and other parts of nervous system"
"225.1",3,1,3.09099573029778,0.328547356337956,0.321332127363771,29.7332690730392,"Benign neoplasm of brain, cranial nerves, meninges"
"225.2",0,0,NA,NA,NA,NA,"Benign neoplasm of spinal cord, meninges"
"226",0,1,4.56838238113913e-09,0.998963703273763,0,Inf,"Benign neoplasm of thyroid glands"
"227",10,6,1.70928743381156,0.299259653838693,0.621184073407919,4.70337804277138,"Benign neoplasm of other endocrine glands"
"227.1",1,0,217717354.735216,0.99896402480578,0,Inf,"Benign neoplasm of adrenal gland"
"227.2",0,0,NA,NA,NA,NA,"Benign neoplasm of parathyroid gland"
"227.3",2,1,2.00861751304752,0.569046421939621,0.182129723008223,22.1520367301007,"Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)"
"228",5,8,0.651406318770659,0.452207623676943,0.21306877507103,1.99151749003525,"Hemangioma and lymphangioma, any site"
"228.1",12,26,0.479573092277651,0.0352768148609142,0.241948233420965,0.95057668983509,"Hemangioma of skin & subcutaneous tissue"
"229",2,0,218160041.353949,0.99853467282229,0,Inf,"Benign neoplasm of unspecified sites"
"229.1",0,0,NA,NA,NA,NA,"Benign neoplasm of lymph nodes"
"230",1,2,0.499638347187904,0.571025258015879,0.0453053390062991,5.51013376030475,"Kaposi's sarcoma"
"240",6,11,0.55141549859055,0.240868209711738,0.203915417647997,1.49110378995834,"Simple goiter"
"241",0,3,4.79224618844613e-09,0.998210862040971,0,Inf,"Nontoxic nodular goiter"
"241.1",15,21,0.737150533313475,0.367082986132724,0.379972465635799,1.43007969763046,"Nontoxic uninodular goiter"
"241.2",16,22,0.748865485004152,0.378846631269859,0.393259692716868,1.42602846164114,"Nontoxic multinodular goiter"
"242",26,23,1.16620821552896,0.591390797465861,0.665231919225589,2.04446233360312,"Thyrotoxicosis"
"242.1",16,14,1.16207671250418,0.681497597396788,0.567160254552493,2.3810241900855,"Graves' disease"
"242.2",1,0,218215472.719683,0.998963877988103,0,Inf,"Toxic multinodular goiter"
"242.3",3,1,3.03760882475105,0.335954506732502,0.315952897172968,29.2039334178161,"Exophthalmos"
"244",1058,486,2.25992414091481,4.68540828827389e-50,2.02974870269818,2.51620169329354,"Hypothyroidism"
"244.1",22,27,0.833346352088782,0.525633564273498,0.474600196849607,1.46326560155167,"Iatrogenic hypothyroidism"
"244.2",42,18,2.42421488717048,0.00168303496492302,1.39511593307919,4.21242255201553,"Acquired hypothyroidism"
"244.3",1,1,1.03025435998814,0.98318703308054,0.0644213786786708,16.4762702699811,"Iodine hypothyroidism"
"244.4",117,53,2.23806075440806,1.14331203424764e-06,1.61780129637767,3.09612555734549,"Hypothyroidism NOS"
"244.5",1,0,218532439.782487,0.998963775725168,0,Inf,"Congenital hypothyroidism"
"245",0,2,4.60071505156157e-09,0.998535007457363,0,Inf,"Thyroiditis"
"245.1",1,0,218192324.896569,0.998963839088952,0,Inf,"Thyroiditis, acute and subacute"
"245.2",12,5,2.45604236082086,0.0914387397146705,0.865143702894034,6.9724186374681,"Chronic lymphocytic thyroiditis"
"245.21",2,1,2.03307405010414,0.56236270034953,0.184345673538005,22.4219533546835,"Chronic lymphocytic thyroiditis"
"246",21,9,2.47398489847012,0.0231000338003008,1.13238897033743,5.40503434613497,"Other disorders of thyroid"
"246.2",1,0,217742070.087655,0.998963992412165,0,Inf,"Thyroid cyst"
"246.7",3,3,1.01707095926708,0.98346077574723,0.205268162960171,5.03942414287194,"Abnormal thyroid function"
"249",29,4,7.59567678170287,0.000144904585968035,2.66897956593289,21.6166157690061,"Secondary diabetes mellitus"
"250",2,2,0.99668191962377,0.99734815817186,0.140396061247783,7.07551793174403,"Diabetes mellitus"
"250.1",358,153,2.39173073349784,1.77386837807303e-19,1.9791560457313,2.89031070283517,"Type 1 diabetes"
"250.11",96,35,2.79236435958938,1.99433293554696e-07,1.89615415024353,4.1121649923365,"Type 1 diabetic ketoacidosis"
"250.12",26,9,2.9475734865597,0.00519348655537169,1.38112115631355,6.29067871341569,"Type 1 diabetes nephropathy"
"250.13",28,6,4.79352464923971,0.000495422161214262,1.98453576917593,11.5784653115172,"Type 1 diabetic retinopathy"
"250.14",51,26,1.9917904109793,0.00424991127501126,1.24193525808455,3.19439279579499,"Type 1 diabetic neuropathy"
"250.15",28,16,1.79205376166447,0.062757053699793,0.969425105392651,3.31274346706239,"Type 1 diabetic peripheral circulatory disorders"
"250.2",3898,1991,2.12661612589229,4.04864966736498e-165,2.01482274439857,2.2446124153989,"Type 2 diabetes"
"250.21",839,291,2.98006064978213,5.94921253072502e-58,2.60798821210553,3.40521534382632,"Type 2 diabetic ketoacidosis"
"250.22",320,145,2.26953966875549,2.73174151963134e-16,1.86509782555573,2.76168372375858,"Type 2 diabetic nephropathy"
"250.23",126,83,1.57992288445139,0.00121981210457741,1.19745830828192,2.08454549402611,"Type 2 diabetic retinopathy"
"250.24",541,207,2.70370193161676,4.71291489493326e-34,2.30340246230851,3.17356790862419,"Type 2 diabetic neuropathy"
"250.25",231,113,2.10582494629695,8.89215528650767e-11,1.68139355300741,2.63739485411658,"Type 2 diabetic peripheral circulatory disorders"
"250.3",177,40,4.65200310665024,1.67348777034664e-18,3.30033202993016,6.55725930240463,"Insulin pump user"
"250.4",0,0,NA,NA,NA,NA,"Abnormal glucose"
"250.41",59,155,0.391076675195047,8.45519549184056e-10,0.289751000445213,0.527835850943096,"Impaired fasting glucose"
"250.42",140,113,1.29086448069421,0.0435893290637071,1.00737188574717,1.65413699855444,"Other abnormal glucose"
"250.5",1,1,0.999253193362025,0.999578502114616,0.0625021121933416,15.9755712151849,"Glycosuria or Acetonuria"
"250.6",186,38,5.03583124328165,1.09619239742206e-19,3.55228790824388,7.13894733925113,"Polyneuropathy in diabetes"
"250.7",193,121,1.65652478673915,1.35465709866937e-05,1.31965171415867,2.07939287286165,"Diabetic retinopathy"
"251",0,0,NA,NA,NA,NA,"Other disorders of pancreatic internal secretion"
"251.1",70,8,9.10433281984389,3.27655993093934e-09,4.38035910639423,18.9228494927481,"Hypoglycemia"
"251.8",1,0,217843321.950645,0.998963961279136,0,Inf,"Other specified disorders of pancreatic internal secretion"
"252",1,0,218630744.056804,0.998963749079137,0,Inf,"Disorders of parathyroid gland"
"252.1",34,13,2.68386914793301,0.00247504436879016,1.41606679363128,5.08673293916832,"Hyperparathyroidism"
"252.2",3,2,1.52986480704342,0.641441484990734,0.255557426636931,9.15835770703353,"Hypoparathyroidism"
"253",4,2,2.03439779736685,0.412221049442526,0.372567232018477,11.108798740856,"Disorders of the pituitary gland and its hypothalamic control"
